代號,名稱,持股資料月份,全體董監持股(%),全體董監質押(%)
2702,華園,15M03,21.1%,31.6%
6605,帝寶,15M04,21.8%,0%
2608,大榮,15M04,7.4%,0%
3234,光環,15M04,9.24%,0%
4126,太醫,15M04,11.1%,0%
3665,F-貿聯,15M04,8.61%,15.1%
2832,台產,15M03,24.4%,13.4%
5355,佳總,15M04,13.3%,0%
1710,東聯,15M04,17.6%,1.28%
3693,營邦,15M04,28.4%,0%
3017,奇鋐,15M04,20.5%,0%
2495,普安,15M04,22.6%,0%
2524,京城,15M04,11.9%,24.7%
1617,榮星,15M04,55%,35.5%
2516,新建,15M04,7.09%,0%
1531,高林股,15M04,12.3%,0%
1809,中釉,15M04,20.3%,0%
1258,F-其祥,15M04,46.8%,0%
3558,神準,15M04,40.4%,0%
1308,亞聚,15M04,39.4%,21.1%
9960,邁達康,15M04,23%,0%
3035,智原,15M04,14.4%,0%
5384,捷元,15M04,21.9%,0%
6184,大豐電,15M04,11.7%,0%
6237,驊訊,15M04,18%,12.7%
8070,長華,15M04,38.7%,0%
6279,胡連,15M04,18.4%,0%
3624,光頡,15M04,21.8%,3.49%
2360,致茂,15M04,7.9%,22.2%
1519,華城,15M04,13.2%,0%
1586,和勤,15M04,25.1%,46.2%
3450,聯鈞,15M04,10.1%,0%
1503,士電,15M04,29.3%,2.49%
2882,國泰金,15M04,2.35%,1.97%
4420,光明,15M04,56.3%,0%
1414,東和,15M04,13.4%,29%
1467,南緯,15M04,28.9%,0%
2457,飛宏,15M04,16.1%,3.63%
3645,達邁,15M04,17.3%,0%
6139,亞翔,15M04,29.2%,46.4%
4958,F-臻鼎,15M04,41.1%,0%
3443,創意,15M04,36%,3.1%
5264,F-鎧勝,15M04,0.25%,0%
9926,新海,15M04,21.7%,2.48%
1517,利奇,15M04,7.51%,0%
2456,奇力新,15M04,18.6%,18.7%
6147,頎邦,15M04,4.77%,1.54%
9934,成霖,15M04,7.55%,0%
2401,凌陽,15M04,19.6%,39.9%
8059,凱碩,15M04,30.5%,0%
3152,璟德,15M04,21.9%,0%
4536,拓凱,15M04,23.9%,0%
5255,美桀,15M04,52.4%,0%
5310,天剛,15M04,20.6%,0%
9939,宏全,15M04,9.47%,7.31%
5353,台林,15M04,21.7%,0%
2499,東貝,15M04,5.9%,19.1%
4163,鐿鈦,15M04,19.8%,0%
6015,宏遠證,15M04,7.8%,64.6%
9931,欣高,15M04,30.6%,14.9%
3031,佰鴻,15M04,36.8%,0%
4105,東洋,15M04,11.4%,16.7%
2392,正崴,15M04,18.7%,0%
1259,安心,15M04,61.5%,5.41%
9802,F-鈺齊,15M04,4.74%,0%
2617,台航,15M04,36.3%,0%
3227,原相,15M04,5.44%,0%
01001T,富邦R1,-,,
1460,宏遠,15M04,32.3%,2.48%
5009,榮剛,15M04,3.99%,39%
3303,岱稜,15M04,9.86%,0%
4417,金洲,15M04,14.5%,0%
8049,晶采,15M04,7.43%,5.54%
6234,高僑,15M04,14.8%,0%
2707,晶華,15M04,11.4%,5.97%
2726,F-雅茗,15M04,35.3%,0%
2444,友旺,15M04,12.2%,33.6%
4746,台耀,15M04,22.2%,0%
8110,華東,15M04,43.4%,0%
2419,仲琦,15M04,8.82%,10.1%
9188,精熙,-,,
3373,熱映,15M04,32.2%,0%
1813,寶利徠,15M04,32.1%,0%
2436,偉詮電,15M04,11.9%,11.1%
3218,大學光,15M04,35.5%,42.6%
3232,昱捷,15M04,25.2%,0%
1439,中和,15M04,29.7%,0%
2332,友訊,15M04,4.78%,0%
8423,F-保綠,15M04,5.63%,0%
3594,磐儀,15M04,18.6%,7.01%
1216,統一,15M04,13%,11.7%
3059,華晶科,15M04,6.14%,0%
1907,永豐餘,15M04,5.94%,0%
3662,樂陞,15M04,10%,41.7%
9958,世紀鋼,15M04,15.2%,0%
2450,神腦,15M04,43.7%,0%
1785,光洋科,15M04,13.9%,62.9%
8446,華研,15M04,43.9%,0%
6022,大眾證,15M04,40.4%,0.49%
6173,信昌電,15M04,44.5%,0%
1234,黑松,15M04,18.4%,4.92%
4430,耀億,15M04,29.1%,0%
4541,晟田,15M04,21.2%,20.1%
8183,精星,15M04,29.5%,0%
1227,佳格,15M04,41.5%,0%
1256,F-鮮活,15M04,60.8%,6.39%
1477,聚陽,15M04,11.8%,19.4%
1713,國化,15M04,13.7%,0%
3441,聯一光,15M04,16.9%,0%
1810,和成,15M04,10.3%,18.2%
1454,台富,15M04,13.1%,13.6%
9918,欣天然,15M04,41.9%,3.86%
5210,寶碩,15M04,20.5%,0%
9904,寶成,15M04,8.88%,0%
1589,F-永冠,15M04,39.3%,23.6%
6187,萬潤,15M04,20.2%,0%
3402,漢科,15M04,21.5%,6.35%
1539,巨庭,15M04,16.5%,0%
2012,春雨,15M04,23.6%,14.7%
6275,元山,15M04,14.6%,0%
1338,F-廣華,15M04,19.3%,34.5%
4549,桓達,15M04,23.2%,0%
9937,全國,15M04,18.1%,2.22%
1470,大統染,15M04,17.9%,0%
8941,關中,15M04,44.8%,0%
2912,統一超,15M04,45.9%,0%
2208,台船,15M04,43.2%,0%
5274,信驊,15M04,23.1%,0%
3141,晶宏,15M04,7.42%,0%
6285,啟碁,15M04,27.1%,0%
1303,南亞,15M04,17.8%,5.83%
8454,富邦媒,15M04,65.4%,0%
2427,三商電,15M04,52.6%,0%
3498,陽程,15M04,15.4%,0%
3062,建漢,15M04,6.67%,0%
5704,老爺知,15M04,34.4%,11.2%
4133,亞諾法,15M04,19%,0%
2013,中鋼構,15M04,43.2%,0%
2330,台積電,15M04,7%,0%
6146,耕興,15M04,30.2%,0.59%
2313,華通,15M04,7.66%,0%
1720,生達,15M04,26.3%,2.34%
9914,美利達,15M04,26.1%,0%
1707,葡萄王,15M04,17%,0%
1452,宏益,15M04,11.1%,0%
3564,其陽,15M04,28.7%,0%
1702,南僑,15M04,41.5%,17.1%
8934,衡平,15M04,47.1%,0%
8427,F-基勝,15M04,30.5%,0%
3432,台端,15M04,18.4%,0%
4934,太極,15M04,41%,0%
1701,中化,15M04,15.2%,28.6%
2409,友達,15M04,7.05%,61.5%
3037,欣興,15M04,14.5%,0%
2727,王品,15M04,12.1%,0%
1474,弘裕,15M04,13.5%,0%
2905,三商,15M04,36.3%,4.72%
5478,智冠,15M04,20.2%,0.58%
3490,單井,15M04,8.58%,38.9%
2442,新美齊,15M04,25.9%,0%
6411,晶焱,15M04,17.1%,0%
8931,大汽電,15M04,72.4%,0%
3018,同開,15M04,16.2%,0%
3437,榮創,15M04,17.1%,0%
4991,F-環宇,15M04,1.52%,0%
5278,尚凡,15M04,41%,0%
2408,南亞科,15M04,37.9%,0%
6226,光鼎,15M04,17.2%,10.3%
4733,上緯,15M04,11%,26.4%
4127,天良,15M04,8.97%,0%
1592,F-英瑞,15M04,46.7%,0%
4111,濟生,15M04,14.9%,0%
2731,雄獅,15M04,21.5%,3.98%
2924,F-東凌,15M04,31.1%,0%
6409,旭隼,15M04,35.6%,0%
3504,揚明光,15M04,38.4%,0%
2642,宅配通,15M04,52.8%,0%
1445,大宇,15M04,12.6%,1.27%
1463,強盛,15M04,13.7%,0%
1220,台榮,15M04,22.8%,0.49%
6166,凌華,15M04,21.9%,5.14%
3068,美磊,15M04,24.8%,26%
3691,碩禾,15M04,55.1%,17.9%
8011,台通,15M04,28.3%,36.1%
5490,同亨,15M04,8.02%,0%
4903,聯光通,15M04,11.2%,0%
5230,雷笛克,15M04,12.7%,0%
2506,太設,15M04,8.87%,22.9%
5536,聖暉,15M04,12.5%,0%
6107,華美,15M04,26.2%,0%
1615,大山,15M04,21.9%,42.8%
4956,光鋐,15M04,12.5%,0%
8222,寶一,15M04,25.8%,0%
6404,F-通訊,15M04,27.9%,0%
1304,台聚,15M04,25.3%,0%
6284,佳邦,15M04,10.8%,3.61%
4401,東隆興,15M04,26.6%,0%
5211,蒙恬,15M04,22.7%,0%
3003,健和興,15M03,13.5%,0%
1904,正隆,15M04,16%,10.7%
3293,鈊象,15M04,16.2%,0%
1231,聯華食,15M04,46.9%,13.2%
3092,鴻碩,15M04,20.7%,0%
3583,辛耘,15M04,15%,0%
4114,健喬,15M04,16.7%,9.82%
4755,三福化,15M04,51.7%,0%
6141,柏承,15M04,20.6%,11.7%
1568,倉佑,15M04,16.8%,0%
3290,東浦,15M04,12.3%,4.07%
1536,和大,15M04,14.2%,3.6%
6269,台郡,15M04,7.45%,0%
01003T,新光R1,-,,
1466,聚隆,15M04,18%,8.75%
4173,久裕,15M04,68.6%,0%
2722,夏都,15M04,54.2%,1.03%
1614,三洋電,15M04,34%,28.5%
8436,大江,15M04,24.3%,0%
5601,台聯櫃,15M04,28.8%,0%
3669,圓展,15M04,27.5%,0%
2354,鴻準,15M03,11.7%,0%
2833,台壽保,15M04,42.3%,0%
9919,康那香,15M04,30.2%,43.7%
4109,穆拉德,15M04,14.7%,46.6%
4994,傳奇,15M04,33.9%,32.2%
3706,神達,15M04,24.4%,9.48%
2704,國賓,15M04,25.7%,9.12%
8933,愛地雅,15M04,9.26%,10.9%
6170,統振,15M04,13.7%,18.4%
1734,杏輝,15M04,15.2%,18.6%
1457,宜進,15M04,13.2%,30.7%
8047,星雲,15M04,38.9%,0%
4120,友華,15M04,29.8%,4.64%
2852,第一保,15M04,17.9%,0%
4728,雙美,15M04,12%,2.61%
9921,巨大,15M04,12.7%,0%
2478,大毅,15M04,17.4%,16.1%
4107,邦特,15M04,12.3%,0%
1324,地球,15M04,22.3%,0%
2395,研華,15M04,18.5%,0%
2719,燦星旅,15M04,52.8%,0%
4129,聯合,15M04,11.7%,6.7%
3289,宜特,15M04,10.1%,17%
6020,大展證,15M04,26.3%,0%
8403,盛弘,15M04,43.2%,18.9%
2228,劍麟,15M04,27.4%,0%
8437,F-大地,15M04,26.6%,0%
8913,全銓,15M04,19.6%,0%
1219,福壽,15M04,9.34%,4.1%
4414,如興,15M04,19.3%,90.6%
3494,誠研,15M04,8.77%,7.62%
3202,樺晟,15M04,10.6%,34.6%
3663,鑫科,15M04,45.6%,0%
9910,豐泰,15M04,29.3%,0%
8046,南電,15M04,67.5%,0%
2032,新鋼,15M04,28.5%,0%
3428,光燿科,15M04,27.9%,0%
6506,雙邦,15M04,18.3%,13.4%
8086,宏捷科,15M04,6.24%,0%
6153,嘉聯益,15M04,5.68%,0%
5301,寶得利,15M04,21.2%,2.81%
3060,銘異,15M04,1.45%,27.7%
4979,華星光,15M04,8.96%,13.3%
9938,百和,15M04,12.5%,0%
1736,喬山,15M04,62.9%,0%
6419,京晨科,15M04,21%,0%
2461,光群雷,15M04,8%,72.4%
1319,東陽,15M04,26.5%,12.4%
4714,永捷,15M04,18.1%,0%
4106,雃博,15M04,12.7%,0%
2515,中工,15M04,9.3%,56.7%
8938,明安,15M04,14.1%,3.9%
1339,昭輝,15M04,46.8%,0%
1590,F-亞德,15M04,5.77%,4.57%
2634,漢翔,15M04,46%,0%
4743,合一,15M04,16.3%,0%
3027,盛達,15M04,13.7%,0%
3276,宇環,15M04,45.1%,0%
4950,牧東,15M04,22%,0%
1301,台塑,15M04,24.4%,0.49%
1103,嘉泥,15M04,18.7%,0%
3374,精材,15M04,38.2%,0%
8411,F-福貞,15M04,6.09%,0%
8429,F-金麗,15M04,28.9%,0%
6509,聚和,15M04,5.68%,0%
3285,微端,15M04,10.3%,0%
3163,波若威,15M04,16.9%,0%
8341,日友,15M04,37.7%,0%
4528,江興鍛,15M04,46.4%,0%
1325,恆大,15M04,30.7%,0%
2207,和泰車,15M04,24.3%,0.71%
2607,榮運,15M04,48.2%,0%
3552,同致,15M04,18.7%,0%
3310,佳穎,15M04,29.1%,3.99%
6117,迎廣,15M04,38.6%,0%
6702,興航,15M04,39.8%,42%
5903,全家,15M04,71.3%,0%
5904,寶雅,15M04,22.8%,11.4%
9907,統一實,15M04,47.9%,0%
2059,川湖,15M04,23.2%,0%
2492,華新科,15M03,24.3%,0%
4906,正文,15M04,4.55%,0%
3642,駿熠電,15M04,11.6%,0%
4739,康普,15M04,25.6%,1.71%
1337,F-再生,15M04,42.5%,0%
9962,有益,15M04,19.3%,0%
2108,南帝,15M04,37.1%,7.25%
4426,利勤,15M04,15.5%,0%
9946,三發,15M04,23.2%,10.5%
4965,商店街,15M04,67.6%,0%
8917,欣泰,15M04,37.3%,0.89%
2641,正德,15M04,46.6%,0%
3532,台勝科,15M04,94.6%,0%
5266,F*AS,15M04,38.7%,35.7%
2910,統領,15M04,17.5%,42.2%
3518,柏騰,15M04,12%,0%
5269,祥碩,15M04,43.3%,0%
1525,江申,15M04,77.8%,0%
1729,必翔,15M04,40%,64.4%
9949,琉園,15M04,22.1%,0%
1784,訊聯,15M04,12.8%,6.23%
4433,興采,15M04,48.7%,0%
2231,為升,15M04,26.1%,0%
1476,儒鴻,15M04,24.7%,0%
1566,捷邦,15M04,22.9%,0.74%
2534,宏盛,15M04,11.5%,0%
5386,青雲,15M04,41.9%,0%
6180,橘子,15M04,22.3%,54.5%
4737,華廣,15M04,23.3%,9.18%
2448,晶電,15M04,4.2%,0%
1416,廣豐,15M04,12.8%,0%
6414,樺漢,15M04,40.6%,0%
1313,聯成,15M04,33.6%,1.27%
2201,裕隆,15M04,34.8%,22.5%
1262,F-綠悅,15M04,3.22%,0%
8450,霹靂,15M04,13.8%,0%
2102,泰豐,15M04,14.1%,0%
4306,炎洲,15M04,20.1%,11%
2601,益航,15M04,12.4%,19.8%
2460,建通,15M04,38.4%,0%
2528,皇普,15M04,34.7%,0%
8390,金益鼎,15M04,23.7%,0%
2474,可成,15M04,4.11%,0%
8431,匯鑽科,15M04,30.6%,0%
4976,佳凌,15M04,19.3%,0%
3296,勝德,15M04,11.6%,0%
4735,豪展,15M04,23.4%,0%
1305,華夏,15M04,28.4%,32.3%
3363,上詮,15M04,11%,5.97%
3455,由田,15M04,12.2%,22.2%
8937,合騏,15M04,10.8%,0%
2425,承啟,15M04,37.3%,0%
1440,南紡,15M04,25.4%,1.32%
1455,集盛,15M04,20.5%,1.6%
4102,永日,15M04,23.7%,0%
5703,亞都,15M04,17.9%,0%
6504,南六,15M04,21.3%,0%
8406,F-金可,15M04,49.3%,0%
3529,力旺,15M04,8.49%,0%
2328,廣宇,15M04,5.35%,0%
8163,達方,15M04,20.4%,0%
2481,強茂,15M04,15%,52.3%
4966,F-譜瑞,15M04,8.23%,2.78%
1815,富喬,15M04,17.5%,0%
4971,F-IET,15M04,0.73%,0%
1326,台化,15M04,26.6%,0%
1762,中化生,15M04,35%,7.37%
2221,大甲,15M04,56.5%,0%
1312,國喬,15M04,5.26%,80.4%
2049,上銀,15M04,17%,17.9%
3008,大立光,15M04,24.7%,0%
8261,富鼎,15M04,11.3%,0%
4429,聚紡,15M04,20%,6.26%
1109,信大,15M04,39%,0%
4523,永彰,15M04,43.8%,0%
4141,F-龍燈,15M04,32.4%,21.1%
5452,佶優,15M04,12.2%,0%
2705,六福,15M04,23.2%,31.3%
2901,欣欣,15M04,48.4%,0%
6175,立敦,15M04,39.7%,0%
3661,F-世芯,15M04,2.7%,0%
5392,應華,15M04,38.2%,0%
1597,直得,15M04,14.8%,0%
4303,信立,15M04,18.8%,0%
2430,燦坤,15M04,29.9%,33.4%
1789,神隆,15M04,65%,0%
1752,南光,15M04,33.9%,0%
4123,晟德,15M04,6.71%,17.2%
5465,富驊,15M04,48.9%,0%
3025,星通,15M04,21%,0%
4139,F-馬光,15M04,10.7%,11.9%
2348,海悅,15M04,19.1%,0%
4905,台聯電,15M04,12.5%,0%
5212,凌網,15M04,20.6%,0%
2718,桃園店,15M04,50.4%,0%
2514,龍邦,15M04,14.3%,13.1%
6415,F-矽力,15M04,19.9%,0%
3591,艾笛森,15M04,6.27%,0%
3680,家登,15M04,27.7%,27.2%
1110,東泥,15M04,27.4%,22.5%
1528,恩德,15M04,16%,84.8%
1724,台硝,15M04,48.9%,0%
5351,鈺創,15M04,8.03%,38.1%
1225,福懋油,15M04,10.7%,53.3%
8420,明揚,15M04,65.1%,0%
8044,網家,15M04,23.8%,0%
1533,車王電,15M04,33.1%,0%
4161,聿新科,15M04,13.2%,3.46%
8076,伍豐,15M04,10.9%,40.5%
1446,宏和,15M04,9.47%,0%
2603,長榮,15M04,12.3%,0%
6145,勁永,15M04,42.9%,0%
3546,宇峻,15M04,15.2%,0%
6101,弘捷,15M04,12.3%,27.6%
6231,系微,15M04,25.3%,0%
6294,智基,15M04,38.8%,0%
6505,台塑化,15M04,82.2%,14.5%
3324,雙鴻,15M04,21.2%,36.6%
3704,合勤控,15M04,27.1%,38%
5306,桂盟,15M04,43%,0%
3545,敦泰,15M04,3.17%,0%
8418,F-必勝,15M04,52.2%,0%
1905,華紙,15M04,57.6%,0%
4130,健亞,15M04,44.1%,0%
3658,漢微科,15M03,12.8%,0%
3576,新日光,15M04,20.1%,0.81%
2417,圓剛,15M04,7.4%,0%
9944,新麗,15M04,29.1%,0%
3483,力致,15M04,4.66%,0%
2431,聯昌,15M04,35.8%,0%
2387,精元,15M04,28.4%,0%
5395,圓方,15M04,32.6%,0%
1419,新紡,15M04,15%,26.6%
5263,智崴,15M04,18.3%,0%
3016,嘉晶,15M04,25.8%,0%
2887,台新金,15M04,2.96%,21.7%
2505,國揚,15M04,8.11%,0%
2723,F-美食,15M04,46.2%,0%
2923,F-鼎固,15M04,58.4%,0%
4944,兆遠,15M04,45.9%,0%
3054,萬國,15M04,8.29%,0%
6247,淇譽電,15M04,36.9%,0%
3561,昇陽科,15M04,14.3%,0.6%
8071,能率豐,15M04,17.4%,0%
3015,全漢,15M04,24.6%,0%
6179,亞通,15M04,13.4%,52.9%
3105,穩懋,15M04,4.89%,0%
4162,智擎,15M04,39.9%,0%
2498,宏達電,15M03,11.8%,0%
4911,德英,15M04,28.4%,0%
3673,F-TPK,15M04,23.9%,0%
