排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長,總經理,
418,1903,士紙,市,26,83.6,53.6,造紙工業,臺實貿易股份有限公司,陳建昆,
419,2401,凌陽,市,59.2,83.5,17.4,半導體業,黃洲杰,黃洲杰,
420,3514,昱晶,市,52.2,83.5,9.7,光電業,潘文炎,潘文輝,
421,8466,美吉吉-KY,市,6.61,83.2,0.7,其他業,陳本源,姜子華,
422,1714,和桐,市,98.7,82.9,25.9,化學工業,楊猷傑,許榮輝/蔡儀桐,
423,1558,伸興,市,6.06,82.7,2.5,電機機械,林志誠,蔡銘裕,
424,9927,泰銘,市,20.9,82.4,18.3,其他業,陳豊明,李茂生,
425,2851,中再保,市,56.2,82.4,17,保險業,楊誠對,莊忠蒼,
426,4763,材料-KY,市,4.65,82.3,1.7,化學工業,王克璋,王克璋,
427,3611,鼎翰,櫃,3.86,81.9,8.6,電腦及週邊設備業,王秀亭,王興磊,
428,4103,百略,櫃,11,81.7,16.3,生技醫療業,林金源,林金源,
429,8473,山林水,市,13.2,81.6,0.8,其他業,郭淑珍,吳人傑,
430,3653,健策,市,10.6,80.8,7.6,電子零組件業,趙宗信,趙永昌,
431,8039,台虹,市,20.8,80.8,7.6,電子零組件業,孫達汶,孫達汶,
432,9924,福興,市,18.8,80.7,22.3,其他業,林瑞章,陳建昆,
433,8213,志超,市,27.1,80.6,7.5,電子零組件業,徐正民,李明熹,
434,8255,朋程,櫃,7.49,80.1,11.2,電機機械,盧明光,吳憲忠,
435,1444,力麗,市,95.7,80,26.9,紡織纖維,郭紹儀,郭紹儀,
436,5243,乙盛-KY,市,17.4,79.8,3.6,光電業,鄭永富,張茂強,
437,6182,合晶,櫃,43.4,79.4,15.1,半導體業,焦平海,陳春霖,
438,8105,凌巨,市,44.2,79.3,10.5,光電業,遠藤仁,濮家銓,
439,5536,聖暉,櫃,4.72,79.2,6.7,其他電子業,梁進利,梁進利,
440,6523,達爾膚,櫃,4.58,78.8,1.1,生技醫療業,吳奕叡,吳奕叡,
441,4736,泰博,櫃,7.46,78.7,6.6,生技醫療業,陳朝旺,陳朝旺,
442,2505,國揚,市,57.7,78.4,37.6,建材營造業,林子寬,彭邵齡,
443,2514,龍邦,市,49.9,78.4,24.8,其他業,林國興,林國興,
444,2536,宏普,市,33.3,78,21.3,建材營造業,段津華,段津華,
445,3003,健和興,市,15.6,78,15.4,電子零組件業,鄭克彬,鄭景壬,
446,2464,盟立,市,19.2,77.7,15.8,其他電子業,孫弘,孫弘,
447,3617,碩天,市,8.1,77.1,7.5,其他電子業,郭瑾,何濂洵,
448,1460,宏遠,市,47.1,77,22.2,紡織纖維,席家宜,葉清來,
449,2031,新光鋼,市,30.6,77,16.8,鋼鐵工業,粟明德,粟明德,
450,2332,友訊,市,65.2,76.3,22.7,通信網路業,邰中和,魏美玲,
451,6139,亞翔,市,21.7,76,13.9,其他電子業,姚祖驤,蔣曉麟,
