"1101","台泥","17.56","7.97","1.05"
"1102","亞泥","15.28","3.67","0.71"
"1103","嘉泥","-","3.17","0.49"
"1104","環泥","11.29","4.85","0.90"
"1108","幸福","8.88","8.25","0.87"
"1109","信大","250.00","2.00","0.70"
"1110","東泥","61.40","1.30","1.02"
"1201","味全","-","0.00","1.50"
"1203","味王","19.06","4.68","1.20"
"1210","大成","24.31","4.73","1.05"
"1213","大飲","54.84","5.70","1.33"
"1215","卜蜂","9.57","8.13","1.30"
"1216","統一","22.70","3.55","3.32"
"1217","愛之味","81.50","0.00","0.74"
"1218","泰山","58.57","0.00","1.23"
"1219","福壽","49.03","2.37","1.27"
"1220","台榮","15.67","4.76","0.86"
"1225","福懋油","12.08","3.25","2.15"
"1227","佳格","22.59","3.43","4.63"
"1229","聯華","12.16","7.14","0.91"
"1231","聯華食","12.30","5.56","1.57"
"1232","大統益","13.84","6.34","3.45"
"1233","天仁","16.67","5.19","2.40"
"1234","黑松","22.92","4.25","0.81"
"1235","興泰","28.19","3.55","0.92"
"1236","宏亞","21.86","3.41","1.15"
"1256","F-鮮活","16.17","3.19","3.90"
"1262","F-綠悅","12.04","1.98","1.86"
"1301","台塑","16.66","4.46","1.79"
"1303","南亞","15.02","4.88","1.65"
"1304","台聚","18.29","3.91","0.78"
"1305","華夏","16.97","7.52","1.20"
"1307","三芳","13.68","5.13","1.78"
"1308","亞聚","17.04","4.35","1.04"
"1309","台達化","36.67","0.00","0.75"
"1310","台苯","13.70","5.57","1.53"
"1312","國喬","10.72","4.66","0.95"
"1313","聯成","-","2.22","0.57"
"1314","中石化","13.13","0.00","0.35"
"1315","達新","18.28","4.49","0.68"
"1316","上曜","-","0.00","1.40"
"1319","東陽","16.81","2.90","1.57"
"1321","大洋","157.94","0.00","1.19"
"1323","永裕","12.28","4.91","1.65"
"1324","地球","14.55","3.57","0.85"
"1325","恆大","19.46","3.56","1.07"
"1326","台化","16.97","4.37","1.65"
"1337","F-再生","12.67","2.63","0.48"
"1338","F-廣華","13.38","3.72","1.57"
"1339","昭輝","12.88","3.55","1.47"
"1340","F-勝悅","9.09","7.32","1.39"
"1402","遠東新","16.14","3.71","0.72"
"1409","新纖","16.32","4.70","0.59"
"1410","南染","14.63","5.42","1.45"
"1413","宏洲","236.67","0.00","1.11"
"1414","東和","210.00","4.76","0.45"
"1416","廣豐","16.76","1.61","0.95"
"1417","嘉裕","-","0.00","0.47"
"1418","東華","-","0.00","1.22"
"1419","新紡","114.06","0.96","1.56"
"1423","利華","-","0.00","0.45"
"1432","大魯閣","-","0.00","1.71"
"1434","福懋","19.05","3.75","1.02"
"1435","中福","-","0.00","0.64"
"1436","華友聯","-","2.51","1.23"
"1437","勤益控","30.37","0.00","0.53"
"1438","裕豐","39.55","0.00","0.81"
"1439","中和","1355.00","3.69","0.63"
"1440","南紡","18.20","3.30","0.88"
"1441","大東","-","0.00","0.83"
"1442","名軒","8.16","9.81","0.93"
"1443","立益","-","0.00","0.58"
"1444","力麗","22.12","5.26","0.80"
"1445","大宇","14.66","5.25","0.68"
"1446","宏和","-","1.49","1.55"
"1447","力鵬","140.00","5.95","0.70"
"1449","佳和","-","0.00","0.68"
"1451","年興","14.44","6.15","0.98"
"1452","宏益","8.80","7.33","1.33"
"1453","大將","14.76","2.19","0.81"
"1454","台富","11.67","5.42","0.73"
"1455","集盛","41.00","2.22","0.74"
"1456","怡華","-","0.00","1.71"
"1457","宜進","6.78","5.08","0.77"
"1459","聯發","14.10","1.97","0.95"
"1460","宏遠","15.53","5.00","1.45"
"1463","強盛","35.29","3.89","1.49"
"1464","得力","26.87","6.11","2.35"
"1465","偉全","13.39","6.16","0.83"
"1466","聚隆","214.29","3.33","0.90"
"1467","南緯","55.19","3.48","1.28"
"1468","昶和","-","0.00","1.39"
"1469","理隆","-","0.00","0.87"
"1470","大統染","26.62","3.17","1.69"
"1471","首利","-","0.00","0.50"
"1472","三洋紡","-","0.00","2.20"
"1473","台南","58.23","3.17","1.37"
"1474","弘裕","14.64","4.88","0.73"
"1475","本盟","4.70","0.00","1.10"
"1476","儒鴻","25.86","2.54","9.17"
"1477","聚陽","18.14","4.83","4.32"
"1503","士電","16.46","3.81","0.96"
"1504","東元","16.56","3.02","1.11"
"1506","正道","56.72","0.00","1.59"
"1507","永大","10.25","5.81","1.58"
"1512","瑞利","-","0.00","0.64"
"1513","中興電","13.62","5.48","1.02"
"1514","亞力","15.85","5.13","0.70"
"1515","力山","15.57","4.59","0.82"
"1516","川飛","9.12","9.88","1.88"
"1517","利奇","18.52","4.42","0.72"
"1519","華城","18.49","3.77","1.32"
"1521","大億","13.85","6.12","3.48"
"1522","堤維西","10.58","5.84","1.35"
"1524","耿鼎","-","0.00","0.71"
"1525","江申","16.72","1.33","2.16"
"1526","日馳","9.31","2.96","1.12"
"1527","鑽全","9.49","4.38","2.68"
"1528","恩德","83.08","0.93","0.81"
"1529","樂士","-","0.00","1.79"
"1530","亞崴","10.07","3.33","1.05"
"1531","高林股","17.28","3.44","0.78"
"1532","勤美","10.31","5.08","0.93"
"1533","車王電","32.27","0.90","2.30"
"1535","中宇","14.11","5.17","2.05"
"1536","和大","29.00","2.39","8.25"
"1537","廣隆","14.57","5.47","3.35"
"1538","正峰新","-","0.00","0.62"
"1539","巨庭","9.27","3.79","2.09"
"1540","喬福","7.79","6.02","0.95"
"1541","錩泰","14.76","6.06","3.50"
"1558","伸興","10.64","6.29","2.11"
"1560","中砂","12.87","6.94","1.98"
"1568","倉佑","19.29","3.87","1.77"
