排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
1517,3219,倚強,上櫃,2.27,4.38,11.2,半導體業,于超宇
1518,5278,尚凡,上櫃,1.31,4.31,2,資訊服務業,張家銘
1519,8093,保銳,上櫃,6.42,4.26,10.4,電子零組件業,蘇彥文
1520,3287,廣寰科,上櫃,4.4,4.2,7.3,電腦及週邊設備業,王忠傑
1521,3609,東林,上櫃,3.04,4.13,4.4,電子零組件業,洪大勝
1522,3207,耀勝,上櫃,3.83,4.13,10.5,電子零組件業,蕭奕彰
1523,5516,雙喜,上櫃,3.83,4.1,16.2,建材營造業,邱南枝
1524,3434,哲固,上櫃,3.28,3.95,7.3,光電業,簡豊連
1525,6225,天瀚,上市,8.53,3.85,10.7,光電業,許明廉
1526,4502,源恆,上櫃,7.67,3.85,19.4,電機機械,吳政哲
1527,4609,唐鋒,上櫃,4.79,3.69,15,電器電纜,許文治
1528,5432,達威,上櫃,2.07,3.59,15.2,光電業,陳政隆
1529,8082,眾星,上櫃,9.66,3.53,11.4,通信網路業,吳昊恩
1530,5386,青雲,上櫃,1.17,3.24,16,電腦及週邊設備業,柯聰源
1531,6198,凌泰,上櫃,2.01,3.19,12.4,半導體業,張敦凱
1532,8934,衡平,上櫃,0.755,3.15,13.7,其他業,紀月娥
1533,2496,卓越,上市,3.91,3.09,13.2,通信網路業,陳安之
1534,8087,華鎂鑫,上櫃,2.99,3.05,11.2,光電業,楊慶堂
1535,6172,互億,上市,4.66,2.99,11,電腦及週邊設備業,廖年豐
1536,8067,志旭,上櫃,4.48,2.99,11.1,電子通路業,陳曜芳
1537,3465,祥業,上櫃,2.55,2.88,7.3,電子零組件業,楊福義
1538,8068,全達,上櫃,3.07,2.74,11.2,電子通路業,王雪紅
1539,3562,頂晶科,上櫃,5.24,2.72,6.9,光電業,傅佩文
1540,3555,擎泰,上櫃,4.95,2.64,3.5,半導體業,熊福嘉
1541,4402,福大,上櫃,4.6,2.57,17.8,紡織纖維,楊燈霖
1542,5205,漢康,上櫃,1.7,2.49,14,資訊服務業,徐景星
1543,5348,系通,上櫃,2.6,2.36,17.1,通信網路業,沈國英
1544,4419,松懋,上櫃,2.36,1.89,13.9,紡織纖維,蘇怡仁
1545,3629,卓韋,上櫃,2.11,1.84,5,光電業,陳福龍
1546,4530,宏易,上櫃,3.6,1.72,14.1,電機機械,陳五常
1547,2361,鴻友,上市,7.25,1.45,18.3,電腦及週邊設備業,陳文聰
1548,6291,沛亨,上櫃,2.61,1.02,11.3,半導體業,李明儒
