"3260","威剛","N/A","0.50","1.56","0.92"
"3264","欣銓","8.98","1.40","6.33","1.10"
"3265","台星科","16.47","0.25","1.31","0.76"
"3268","海德威","N/A","1.00","7.14","0.89"
"3272","東碩","10.25","1.77","3.35","1.95"
"3276","宇環","16.76","0.30","3.25","0.81"
"3284","太普高","10.32","0.00","0.00","0.78"
"3285","微端","20.89","1.00","3.42","2.03"
"3287","廣寰科","N/A","0.00","0.00","0.69"
"3288","點晶","N/A","0.00","0.00","1.78"
"3289","宜特","18.50","5.00","4.65","3.07"
"3290","東浦","6.23","1.00","6.92","0.85"
"3291","遠翔科","19.23","0.30","2.20","0.86"
"3293","鈊象","81.43","4.50","1.58","7.39"
"3294","英濟","60.00","0.00","0.00","0.66"
"3297","杭特","11.31","1.80","9.95","0.77"
"3299","帛漢","11.15","5.00","8.21","2.28"
"3303","岱稜","14.56","1.20","6.11","1.09"
"3306","鼎天","18.79","1.40","6.01","0.84"
"3310","佳穎","25.36","0.30","2.11","1.10"
"3313","斐成","N/A","0.00","0.00","0.44"
"3317","尼克森","N/A","0.00","0.00","0.52"
"3322","建舜電","N/A","0.00","0.00","0.93"
"3323","加百裕","11.58","1.00","5.14","0.75"
"3324","雙鴻","37.61","1.00","1.32","3.95"
"3325","旭品","N/A","0.00","0.00","1.34"
"3332","幸康","13.16","2.20","5.74","1.32"
"3339","泰谷","N/A","0.00","0.00","0.64"
"3354","律勝","25.00","0.61","6.43","0.59"
"3360","尚立","17.33","1.20","5.37","1.43"
"3362","先進光","N/A","0.00","0.00","0.96"
"3363","上詮","N/A","0.00","0.00","1.73"
"3372","典範","141.60","0.00","0.00","0.82"
"3373","熱映","17.66","1.40","5.47","1.52"
"3374","精材","14.97","0.50","1.75","1.30"
"3379","彬台","51.73","1.10","8.18","0.84"
"3388","崇越電","13.80","4.00","6.22","1.38"
"3390","旭軟","10.07","2.00","13.16","0.75"
"3402","漢科","12.38","0.48","2.98","0.96"
"3428","光燿科","22.70","1.00","1.75","2.33"
"3431","長天","N/A","0.00","0.00","1.44"
"3434","哲固","21.33","0.35","2.73","1.25"
"3438","類比科","18.91","0.30","1.72","0.65"
"3441","聯一光","164.29","0.00","0.00","0.44"
"3444","利機","13.74","1.00","6.12","1.12"
"3452","益通","N/A","0.00","0.00","1.24"
"3455","由田","8.05","2.50","7.10","1.25"
"3465","祥業","N/A","0.00","0.00","2.96"
"3466","致振","142.33","1.50","7.03","0.79"
"3479","安勤","21.71","3.60","4.35","2.97"
"3483","力致","N/A","0.10","0.68","0.37"
"3484","崧騰","14.97","2.20","4.45","1.97"
"3489","森寶","99.60","0.00","0.00","0.70"
"3490","單井","7.82","1.00","1.58","2.32"
"3491","昇達科","16.91","4.30","5.82","2.55"
"3492","長盛","19.09","0.89","2.36","2.73"
"3498","陽程","11.19","2.20","3.50","1.81"
"3499","環天科","67.68","0.00","0.00","1.59"
"3508","位速","N/A","0.00","0.00","0.55"
"3511","矽瑪","20.62","0.00","0.00","1.51"
"3512","能緹","80.00","0.00","0.00","2.08"
"3516","亞帝歐","N/A","0.00","0.00","0.35"
"3520","振維","N/A","0.00","0.00","19.58"
"3521","鴻翊","N/A","0.00","0.00","1.41"
"3522","宏森","N/A","0.00","0.00","0.52"
"3523","迎輝","N/A","0.00","0.00","2.60"
"3526","凡甲","35.31","1.50","4.42","1.72"
"3527","聚積","11.42","3.50","6.60","1.16"
"3528","安馳","9.85","2.50","7.69","1.57"
