1101  ,台泥                ,   
1102  ,亞泥                , Y 
1216  ,統一                , Y 
1227  ,佳格                , Y 
1301  ,台塑                , Y 
1303  ,南亞                , Y 
1314  ,中石化              , Y 
1319  ,東陽                ,   
1326  ,台化                ,   
1402  ,遠東新              , Y 
1434  ,福懋                , Y 
1440  ,南紡                ,   
1476  ,儒鴻                , Y 
1477  ,聚陽                ,   
1504  ,東元                ,   
1507  ,永大                ,   
1590  ,F-亞德              ,   
1605  ,華新                ,   
1710  ,東聯                ,   
1717  ,長興                ,   
1722  ,台肥                , Y 
1723  ,中碳                ,   
1789  ,神隆                , Y 
1802  ,台玻                ,   
1907  ,永豐餘              ,   
2002  ,中鋼                , Y 
2006  ,東鋼                , Y 
2015  ,豐興                ,   
2049  ,上銀                , Y 
2059  ,川湖                , Y 
2101  ,南港                ,   
2103  ,台橡                ,   
2105  ,正新                ,   
2106  ,建大                , Y 
2201  ,裕隆                ,   
2204  ,中華                , Y 
2206  ,三陽                , Y 
2207  ,和泰車              , Y 
2227  ,裕日車              ,   
2231  ,為升                ,   
2301  ,光寶科              , Y 
2303  ,聯電                ,   
2308  ,台達電              ,   
2311  ,日月光              , Y 
2317  ,鴻海                , Y 
2324  ,仁寶                , Y 
2325  ,矽品                ,   
2327  ,國巨                ,   
2330  ,台積電              ,   
2337  ,旺宏                ,   
2344  ,華邦電              ,   
2347  ,聯強                ,   
2352  ,佳世達              ,   
2353  ,宏碁                , Y 
2354  ,鴻準                , Y 
2356  ,英業達              ,   
2357  ,華碩                ,   
2360  ,致茂                ,   
2362  ,藍天                ,   
2376  ,技嘉                ,   
2377  ,微星                ,   
2379  ,瑞昱                ,   
2382  ,廣達                ,   
2385  ,群光                ,   
2392  ,正崴                ,   
2393  ,億光                ,   
2395  ,研華                ,   
2408  ,南亞科              ,   
2409  ,友達                ,   
2412  ,中華電              , Y 
2439  ,美律                ,   
2448  ,晶電                ,   
2449  ,京元電              ,   
2451  ,創見                ,   
2454  ,聯發科              ,   
2474  ,可成                ,   
2498  ,宏達電              ,   
2501  ,國建                ,   
2511  ,太子                ,   
2542  ,興富發              ,   
2603  ,長榮                ,   
2606  ,裕民                ,   
2609  ,陽明                ,   
2610  ,華航                , Y 
2615  ,萬海                ,   
2618  ,長榮航              ,   
2707  ,晶華                ,   
2723  ,F-美食              ,   
2727  ,王品                ,   
2801  ,彰銀                ,   
2809  ,京城銀              ,   
2812  ,台中銀              ,   
2823  ,中壽                , Y 
2834  ,臺企銀              , Y 
2845  ,遠東銀              ,   
2855  ,統一證              ,   
2880  ,華南金              ,   
2881  ,富邦金              ,   
2882  ,國泰金              ,   
2883  ,開發金              ,   
2884  ,玉山金              ,   
2885  ,元大金              ,   
2886  ,兆豐金              , Y 
2887  ,台新金              ,   
2888  ,新光金              ,   
2890  ,永豐金              ,   
2891  ,中信金              ,   
2892  ,第一金              , Y 
2903  ,遠百                , Y 
2912  ,統一超              ,   
2915  ,潤泰全              , Y 
3008  ,大立光              ,   
3034  ,聯詠                ,   
3037  ,欣興                ,   
3044  ,健鼎                , Y 
3045  ,台灣大              ,   
3060  ,銘異                ,   
3189  ,景碩                ,   
3231  ,緯創                , Y 
3474  ,華亞科              ,   
3481  ,群創                ,   
3576  ,新日光              ,   
3673  ,F-TPK               ,   
3682  ,亞太電              , Y 
3702  ,大聯大              , Y 
4904  ,遠傳                ,   
4938  ,和碩                ,   
4958  ,F-臻鼎              ,   
5264  ,F-鎧勝              , Y 
5522  ,遠雄                ,   
5871  ,F-中租              ,   
5880  ,合庫金              ,   
6005  ,群益證              , Y 
6116  ,彩晶                ,   
6176  ,瑞儀                ,   
6239  ,力成                ,   
6286  ,立錡                ,   
6505  ,台塑化              ,   
8046  ,南電                ,   
8150  ,南茂                ,   
8454  ,富邦媒              ,   
9904  ,寶成                ,   
9907  ,統一實              ,   
9910  ,豐泰                ,   
9914  ,美利達              , Y 
9917  ,中保                , Y 
9921  ,巨大                , Y 
9933  ,中鼎                , Y 
9940  ,信義                ,   
9945  ,潤泰新              ,   
