1,2330,台積電,14.2676 
2,2317,鴻海,5.5387 
3,2412,中華電,3.0641 
4,6505,台塑化,3.0438 
5,2882,國泰金,2.3157 
6,2881,富邦金,2.1679 
7,1303,南亞,2.079 
8,1301,台塑,1.964 
9,1326,台化,1.73 
10,2454,聯發科,1.6769 
11,2308,台達電,1.619 
12,3045,台灣大,1.3982 
13,3008,大立光,1.347 
14,2002,中鋼,1.2987 
15,2891,中信金,1.2879 
16,1216,統一,1.2595 
17,2311,日月光,1.2098 
18,2886,兆豐金,1.1841 
19,2474,可成,1.0355 
20,4904,遠傳,0.9067 
21,2912,統一超,0.905 
22,2357,華碩,0.8962 
23,2382,廣達,0.8714 
24,2207,和泰車,0.8576 
25,4938,和碩,0.8471 
26,2105,正新,0.7631 
27,2892,第一金,0.723 
28,5880,合庫金,0.6397 
29,1402,遠東新,0.6395 
30,2880,華南金,0.6307 
31,2884,玉山金,0.6297 
32,2303,聯電,0.6243 
33,2395,研華,0.5985 
34,2801,彰銀,0.5717 
35,9904,寶成,0.5618 
36,2885,元大金,0.56 
37,2883,開發金,0.5424 
38,1101,台泥,0.5413 
39,2325,矽品,0.5316 
40,2354,鴻準,0.4929 
41,1476,儒鴻,0.4888 
42,3474,華亞科,0.4778 
43,1102,亞泥,0.4571 
44,2887,台新金,0.4526 
45,2890,永豐金,0.4476 
46,9910,豐泰,0.4453 
47,3481,群創,0.4303 
48,2408,南亞科,0.3837 
49,9921,巨大,0.3722 
50,2409,友達,0.3718 
51,2324,仁寶,0.363 
52,2823,中壽,0.3577 
53,2227,裕日車,0.3502 
54,2888,新光金,0.324 
55,2301,光寶科,0.3206 
56,4958,F-臻鼎,0.3011 
57,2618,長榮航,0.295 
58,5871,F-中租,0.283 
59,3034,聯詠,0.2822 
60,2356,英業達,0.2637 
61,2610,華航,0.2564 
62,2498,宏達電,0.2523 
63,1227,佳格,0.2446 
64,9914,美利達,0.2321 
65,2385,群光,0.2299 
66,3702,大聯大,0.2242 
67,2915,潤泰全,0.2227 
68,1504,東元,0.2227 
69,1434,福懋,0.2211 
70,9945,潤泰新,0.219 
71,2201,裕隆,0.2176 
72,2542,興富發,0.2164 
73,2347,聯強,0.216 
74,2603,長榮,0.2112 
75,5264,F-鎧勝,0.2043 
76,6239,力成,0.1984 
77,2049,上銀,0.1953 
78,1477,聚陽,0.1935 
79,2834,臺企銀,0.1919 
80,2615,萬海,0.1909 
81,6176,瑞儀,0.1901 
82,3231,緯創,0.1778 
83,2353,宏碁,0.1746 
84,2106,建大,0.1732 
85,9917,中保,0.1722 
86,2923,F-鼎固,0.1683 
87,1722,台肥,0.1656 
88,2059,川湖,0.1639 
89,2451,創見,0.1558 
90,6456,F-GIS,0.1557 
91,2847,大眾銀,0.1524 
92,2634,漢翔,0.1474 
93,3682,亞太電,0.1436 
94,2379,瑞昱,0.1423 
95,2327,國巨,0.1356 
96,2231,為升,0.1325 
97,3673,F-TPK,0.1313 
98,2204,中華,0.1311 
99,2606,裕民,0.13 
100,2448,晶電,0.1286 
101,9933,中鼎,0.1284 
102,1802,台玻,0.1271 
103,3532,台勝科,0.127 
104,1717,長興,0.1257 
105,3189,景碩,0.1248 
106,2812,台中銀,0.1243 
107,1590,F-亞德,0.1224 
108,6409,旭隼,0.1224 
109,2809,京城銀,0.122 
110,2845,遠東銀,0.1216 
111,8150,南茂,0.1215 
112,5522,遠雄,0.1208 
113,2609,陽明,0.1199 
114,1723,中碳,0.1182 
115,2344,華邦電,0.1168 
116,2867,三商壽,0.1152 
117,1605,華新,0.1133 
118,2707,晶華,0.1123 
119,2723,F-美食,0.1118 
120,1789,神隆,0.1111 
121,2903,遠百,0.1103 
122,6286,立錡,0.1103 
123,2377,微星,0.1102 
124,6269,台郡,0.1087 
125,6285,啟碁,0.1067 
126,2313,華通,0.1061 
127,8454,富邦媒,0.1058 
128,2449,京元電,0.1054 
129,3044,健鼎,0.1047 
130,6415,F-矽力,0.1028 
131,1440,南紡,0.1026 
132,1589,F-永冠,0.1022 
133,9907,統一實,0.1005 
134,2838,聯邦銀,0.0995 
135,2392,正崴,0.0985 
136,2362,藍天,0.098 
137,1536,和大,0.097 
138,2101,南港,0.0947 
139,2849,安泰銀,0.0945 
140,6414,樺漢,0.0941 
141,9938,百和,0.0929 
142,1707,葡萄王,0.0926 
143,2501,國建,0.0918 
144,1704,榮化,0.0907 
145,2889,國票金,0.0905 
146,2360,致茂,0.0901 
147,6005,群益證,0.0901 
148,1507,永大,0.0886 
149,2015,豐興,0.0878 
150,3037,欣興,0.0877 
151,1710,東聯,0.0875 
152,4733,上緯,0.0869 
153,2352,佳世達,0.0866 
154,8046,南電,0.0857 
155,2393,億光,0.0849 
156,2383,台光電,0.0849 
157,4137,F-麗豐,0.084 
158,1319,東陽,0.0838 
159,2376,技嘉,0.0826 
160,1702,南僑,0.0823 
161,1503,士電,0.0819 
162,1314,中石化,0.0812 
163,3706,神達,0.0801 
164,9941,裕融,0.0795 
165,2206,三陽,0.0787 
166,5007,三星,0.0782 
167,4915,致伸,0.0777 
168,3576,新日光,0.0776 
169,2855,統一證,0.0757 
170,5388,中磊,0.0744 
171,4426,利勤,0.0742 
172,2608,大榮,0.0741 
173,2103,台橡,0.0738 
174,1262,F-綠悅,0.0732 
175,2637,F-慧洋,0.0732 
176,2006,東鋼,0.073 
177,1907,永豐餘,0.0724 
178,6452,F-康友,0.0715 
179,6605,帝寶,0.0714 
180,2441,超豐,0.0713 
181,2337,旺宏,0.0704 
182,9940,信義,0.0704 
183,2355,敬鵬,0.0701 
184,1736,喬山,0.0698 
185,1229,聯華,0.0697 
186,3376,新日興,0.0695 
187,6166,凌華,0.0695 
188,2373,震旦行,0.069 
189,8422,可寧衛,0.0683 
190,6214,精誠,0.0676 
191,2511,太子,0.0666 
192,9939,宏全,0.0653 
193,3036,文曄,0.0646 
194,2548,華固,0.0643 
195,2458,義隆,0.0641 
196,1307,三芳,0.0638 
197,2312,金寶,0.0625 
198,1304,台聚,0.0602 
199,9925,新保,0.0602 
200,2820,華票,0.0599 
201,1409,新纖,0.0594 
202,6206,飛捷,0.0593 
203,2607,榮運,0.0587 
204,2727,王品,0.0582 
205,2104,中橡,0.0581 
206,1210,大成,0.0579 
207,2905,三商,0.0578 
208,9930,中聯資,0.0578 
209,2856,元富證,0.0576 
210,2504,國產,0.0575 
211,1312,國喬,0.0574 
212,1104,環泥,0.057 
213,6412,群電,0.0565 
214,1729,必翔,0.056 
215,2371,大同,0.0553 
216,3030,德律,0.0552 
217,6271,同欣電,0.0551 
218,6116,彩晶,0.0544 
219,2228,劍麟,0.0543 
220,3022,威強電,0.0541 
221,3665,F-貿聯,0.0541 
222,2489,瑞軒,0.0536 
223,8926,台汽電,0.053 
224,2023,燁輝,0.0529 
225,2027,大成鋼,0.0527 
226,1234,黑松,0.051 
227,1718,中纖,0.0504 
228,3005,神基,0.0504 
229,3450,聯鈞,0.0504 
230,1904,正隆,0.0503 
231,6504,南六,0.0496 
232,5534,長虹,0.0495 
233,3705,永信,0.0492 
234,2331,精英,0.049 
