"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"29","5603","陸海","21.6","-0.05","-0.23%","15M04","1.3","0","17.4%","0","0%","0","0","0%","0","0%","1.3","0","17.4%","0","0%"
"30","5371","中光電","38.1","-0.35","-0.91%","15M04","3.01","-190","5.55%","0.36","11.5%","0","0","0%","0","0%","3.01","-190","5.55%","0.36","11.5%"
"31","2489","瑞軒","17.55","+0.05","+0.29%","15M04","5.78","0","6.92%","0","0%","0","0","0%","0","0%","5.78","0","6.92%","0","0%"
"32","2542","興富發","76.9","+0.4","+0.52%","15M04","7.48","-70","8.34%","0.66","7.13%","0","0","0%","0","0%","7.48","-70","8.34%","0.66","7.13%"
"33","6265","方土昶","9.55","+0.08","+0.84%","15M04","1.55","+156","13.1%","0.5","32.3%","0","0","0.02%","0","0%","1.55","+156","13.1%","0.5","32.3%"
"34","6292","迅德","33.35","-0.15","-0.45%","15M04","2.11","0","45%","0","0%","0","0","0%","0","0%","2.11","0","45%","0","0%"
"35","5356","協益","61.5","0","0%","15M04","1.5","0","11.6%","0.17","11.2%","0","0","0%","0","0%","1.5","0","11.6%","0.17","11.2%"
"36","3032","偉訓","22.4","-0.15","-0.67%","15M04","3.22","0","31.2%","0.87","27.1%","0.02","0","0.15%","0","0%","3.24","0","31.4%","0.87","27%"
"37","2107","厚生","31.4","-0.1","-0.32%","15M04","3.07","0","6.18%","0.42","13.7%","0","0","0%","0","0%","3.07","0","6.18%","0.42","13.7%"
"38","2841","台開","13.5","-0.2","-1.46%","15M04","4.29","0","6.48%","0.89","20.7%","0","0","0%","0","0%","4.29","0","6.48%","0.89","20.7%"
