"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"991","4541","晟田","36.85","-0.55","-1.47%","2014","0%","","6.2%","","10.7%","","15.9%","","67.2%","","0%",""
"992","3362","先進光","21.35","+0.05","+0.23%","2014","0%","0","0.1%","+0.11","0.6%","+0.58","18%","-14","81.3%","+13.3","0%","+0.01"
"993","1618","合機","8.26","+0.06","+0.73%","2014","0%","0","1.2%","-0.13","0%","0","42.3%","0","56.5%","+0.14","0%","0"
"994","3332","幸康","41.1","-0.45","-1.08%","2015","0%","0","0.1%","0","0%","0","2.1%","+0.85","97.8%","-0.85","0%","0"
"995","8054","安國","24.05","-0.15","-0.62%","2014","0%","0","7.9%","-0.94","6.5%","+2.84","17.6%","-1.27","62.9%","-2.3","5.1%","+1.67"
"996","1316","上曜","11.6","-0.1","-0.85%","2014","0%","0","0.1%","-0.17","0%","0","13.2%","-7.17","86.8%","+7.34","0%","0"
"997","3228","金麗科","31.5","-0.7","-2.17%","2014","0%","0","1%","-0.08","6.6%","+0.04","4.4%","+0.2","87.2%","+0.14","0.9%","-0.3"
"998","1731","美吾華","14.7","+0.1","+0.68%","2014","0%","0","4.7%","+0.08","0.2%","+0.23","34%","+3.9","61.1%","-4.2","0%","0"
"999","1568","倉佑","18.9","+0.25","+1.34%","2014","0%","","1.6%","","3.9%","","47.1%","","47.3%","","0%",""
"1000","3707","漢磊","11.9","+0.1","+0.85%","-","0%","","0%","","0%","","0%","","0%","","0%",""
"1001","4908","前鼎","24.85","+0.1","+0.4%","2014","0%","+0.03","1.3%","-0.16","2%","+1.95","33.5%","-1.07","63.2%","-0.75","0%","0"
"1002","2904","匯僑","27.9","+0.1","+0.36%","2014","0%","0","1.4%","-1.1","0%","0","51.8%","+0.32","46.8%","+0.78","0%","0"
"1003","4133","亞諾法","32.3","+0.15","+0.47%","2014","0%","0","11.4%","+0.96","2.1%","-0.82","16%","+0.89","70.5%","-1.03","0%","0"
"1004","1540","喬福","22.5","-0.1","-0.44%","2014","0%","0","0.4%","+0.26","0%","0","10.1%","+0.46","89.5%","-0.72","0%","0"
"1005","4916","事欣科","28.25","-0.4","-1.4%","2014","0%","","10%","","2.7%","","31.3%","","56%","","0%",""
"1006","1727","中華化","18.25","+0.15","+0.83%","2014","0%","0","4.6%","-0.35","0%","+0.03","5.8%","-0.59","89.5%","+0.91","0%","0"
