"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1","2330","台積電","145.5","0","0%","2014","6.4%","0","77.8%","+0.41","3.9%","-0.08","3.1%","+0.36","8.9%","-0.68","0%","0"
"2","2317","鴻海","96.5","-0.5","-0.52%","2014","3%","+0.91","49%","+3.96","5.7%","-0.37","2.9%","-0.48","39.5%","-4.02","0%","0"
"3","2412","中華電","98.2","+0.6","+0.61%","2014","38.1%","-0.19","14.7%","-0.49","24.7%","-1.46","2.8%","+0.27","19.8%","+1.87","0%","0"
"4","6505","台塑化","78.6","+0.5","+0.64%","2014","0.2%","+0.08","7.8%","+0.56","0.9%","+0.23","88.4%","-0.89","2.7%","+0.02","0%","0"
"5","2882","國泰金","53.8","+0.3","+0.56%","2014","4.3%","+0.65","24.3%","+4.99","4.1%","-0.76","41.1%","-0.03","26.3%","-3.01","0%","-1.84"
"6","2454","聯發科","410","+10","+2.5%","2014","0%","0","60.5%","+11.6","8.1%","-1.53","6.1%","-1.26","25.3%","-8.83","0%","0"
"7","2881","富邦金","62.8","+0.5","+0.8%","2014","18.9%","-0.36","30.2%","+5.53","4.5%","+1.21","22.3%","-3.3","24%","-3.08","0%","0"
"8","1303","南亞","73.5","+0.9","+1.24%","2015","0.5%","+0.15","29.5%","+2.05","5.9%","+1.16","40.1%","-2.57","24%","-0.79","0%","0"
"9","1301","台塑","77.4","+2.3","+3.06%","2015","0.7%","+0.4","34.5%","+0.63","8.2%","+0.01","32.9%","-0.77","23.7%","-0.28","0%","0"
"10","3008","大立光","3460","+155","+4.69%","2014","5.1%","+0.69","40.3%","+15","15.7%","-2.18","0.2%","-0.53","38.6%","-13","0%","0"
"11","1326","台化","78.4","+1.4","+1.82%","2014","0.4%","+0.26","35.1%","-0.31","6.7%","+0.18","35.9%","-0.04","21.9%","-0.1","0%","0"
"12","2308","台達電","170.5","+0.5","+0.29%","2014","0.2%","-0.01","75.3%","+1.12","8.3%","+0.39","1.4%","-0.09","14.8%","-1.4","0%","0"
"13","2002","中鋼","25.5","+0.05","+0.2%","2014","20.1%","0","13.9%","+0.56","11.9%","+0.43","9.2%","+0.28","44.9%","-1.27","0%","0"
"14","3045","台灣大","106.5","+0.5","+0.47%","2014","4%","+0.58","31.4%","-4.09","12.9%","+1.1","40%","+0.88","11.8%","+1.53","0%","0"
"15","2891","中信金","22.9","+0.4","+1.78%","2015","0%","0","47.4%","+6.9","12.6%","-4.27","14.1%","-0.37","25.8%","-2.25","0%","-0.01"
"16","2311","日月光","43","+0.7","+1.65%","2014","2.9%","-2.13","75.7%","+17","2.2%","-1.18","7.1%","-3.76","12.2%","-9.93","0%","0"
"17","2886","兆豐金","26.95","-0.05","-0.19%","2014","19.3%","-0.13","37.3%","-0.12","18%","-0.76","7.8%","+0.91","17.5%","+0.1","0%","0"
"18","2382","廣達","78.4","+0.2","+0.26%","2015","0%","0","38%","-2.34","10.8%","+1.85","26.1%","+0.84","25.1%","-0.35","0%","0"
"19","1216","統一","54.1","0","0%","2014","3.9%","+1.17","45.3%","-5.59","2%","+1.5","12.9%","-0.26","36%","+3.18","0%","0"
"20","2474","可成","353","+9","+2.62%","2014","0%","0","52%","+24.8","11.8%","-1.72","12.3%","-2.08","23.9%","-21","0%","0"
"21","2207","和泰車","496","+2","+0.4%","2014","0.1%","+0.07","23%","+0.56","0%","0","64.5%","+0.55","12.4%","-1.18","0%","0"
"22","4904","遠傳","72","-0.1","-0.14%","2014","2.5%","+0.35","27.5%","-6.03","22.3%","+4.08","43.8%","+0.27","4%","+1.32","0%","0"
"23","3474","華亞科","35.35","+1.25","+3.67%","2015","1.1%","+0.62","49.4%","+3.43","2.7%","+0.58","33.8%","-4.6","13%","-0.03","0%","0"
"24","2912","統一超","222.5","+9","+4.22%","2014","0%","0","42.6%","-0.12","0%","+0.01","53.9%","+0.64","3.5%","-0.53","0%","0"
"25","2357","華碩","306","+3.5","+1.16%","2014","0%","0","57.1%","+0.44","9.5%","-0.46","4.7%","-1.1","28.7%","+1.11","0%","0"
"26","2105","正新","69.7","-0.2","-0.29%","2015","6.1%","-1.28","13.5%","-1.95","8%","+2.82","7.8%","+2.01","64.7%","-1.61","0%","+0.01"
"27","4938","和碩","89.5","+0.9","+1.02%","2014","0%","0","35.2%","-1.68","11.1%","+2.37","23.9%","-3.57","29.8%","+2.9","0%","-0.02"
"28","2883","開發金","11.95","0","0%","2014","0%","0","22.4%","+2.69","9.4%","-1.04","17.1%","+1.24","51.2%","-1.92","0%","-0.96"
"29","1402","遠東新","34","+0.6","+1.8%","2014","4.5%","-0.24","20.8%","+0.86","13.9%","+0.16","46.9%","-0.02","13.9%","-0.75","0%","0"
"30","2303","聯電","13.9","+0.1","+0.72%","2014","1%","+0.31","41.2%","+1.22","6.2%","+2.56","11.4%","+0.32","38.6%","-2.93","1.6%","-1.48"
"31","3481","群創","17.8","0","0%","2014","0.1%","-1.06","28.4%","-1.73","6%","-0.3","25.3%","-7.71","40.2%","+10.8","0%","0"
"32","2892","第一金","19.05","+0.05","+0.26%","2014","19%","-0.45","20.9%","+1.41","19.5%","+0.33","5.1%","-0.06","35.5%","-1.23","0%","0"
"33","2885","元大金","17.35","+0.05","+0.29%","2014","4.1%","+1.05","32.5%","-2.16","11.9%","+1.96","27%","+0.06","24.6%","-0.86","0%","-0.04"
"34","5880","合庫金","16.4","+0.1","+0.61%","2014","30.6%","0","15.9%","+2.52","3.2%","-3.22","21.9%","+0.27","28.4%","+0.43","0%","0"
"35","2880","華南金","18.45","+0.1","+0.54%","2015","2.3%","-0.18","18.5%","+3.12","33.8%","-1.93","22.3%","+0.06","23%","-1.07","0%","0"
"36","2408","南亞科","68.3","+3.1","+4.75%","2014","0%","0","5.4%","-0.02","0%","0","88.4%","-0.84","6.3%","+0.87","0%","0"
"37","3658","漢微科","2295","+35","+1.55%","2014","0%","0","53.3%","+15.1","3.4%","-1.43","33.7%","-5.37","9.5%","-8.32","0%","0"
"38","2409","友達","16.6","+0.4","+2.47%","2014","0%","-0.2","27.5%","-0.71","9%","-1.84","15%","-0.87","48.4%","+3.61","0%","0"
"39","2325","矽品","49.9","-0.6","-1.19%","2014","0%","0","57.2%","+1.85","11.3%","-1.73","11.1%","+4.1","20.4%","-3","0%","-1.22"
"40","1101","台泥","41.75","+0.05","+0.12%","2014","0.3%","0","39.2%","+3.87","14.3%","-0.81","26.9%","-0.15","19.4%","-2.92","0%","0"
"41","2395","研華","242","-3","-1.22%","2014","0%","0","39%","+0.03","2.8%","+0.92","45.8%","-0.32","12.3%","-0.63","0%","0"
"42","2884","玉山金","20.65","+0.4","+1.98%","2014","0.3%","+0.29","53.4%","+9.09","7.3%","-4.92","13%","-3.76","26%","-0.7","0%","0"
"43","2801","彰銀","17.95","+0.05","+0.28%","2014","15.4%","+0.05","14.1%","+1.03","31.1%","-0.95","9.9%","+5.3","29.6%","-5.42","0%","0"
"44","2354","鴻準","101","+2.5","+2.54%","2014","2.6%","+0.63","19.4%","+3.78","3.9%","-0.61","37.6%","-0.25","36.5%","-3.56","0%","0"
"45","9904","寶成","46.65","+0.55","+1.19%","2014","2.9%","-0.75","58.1%","+6.28","8.2%","+2.94","13.8%","-0.82","16.9%","-7.65","0%","0"
"46","2890","永豐金","14.1","0","0%","2015","0.7%","-1.1","33.6%","-2.14","4.7%","-0.1","25.4%","-1.57","35.7%","+4.91","0%","0"
"47","1102","亞泥","38.4","0","0%","2015","3.5%","-0.2","19.5%","-0.7","13.4%","+0.48","45%","-0.2","18.5%","+0.62","0%","0"
"48","2887","台新金","13.35","+0.1","+0.75%","2014","1.8%","+0.07","33%","-0.55","5.8%","-0.89","18.2%","+1.05","41.1%","+0.32","0%","0"
"49","1476","儒鴻","435","+7","+1.64%","2014","1.4%","-0.68","37.5%","+19.2","3.8%","-6.4","19.5%","-4.84","37.7%","-7.29","0%","0"
"50","2324","仁寶","25.1","-0.4","-1.57%","2014","0%","0","52.7%","-0.88","7.1%","+0.01","10.4%","+1.41","28.5%","-1.44","1.3%","+0.9"
"51","9921","巨大","263.5","+1","+0.38%","2014","0.7%","+0.26","54.2%","+2.46","1.5%","-1.49","7.1%","-0.03","36.5%","-1.21","0%","0"
"52","3034","聯詠","160.5","+0.5","+0.31%","2014","5.3%","+1.15","52.8%","-2.98","16.7%","+2.71","7%","+0.26","18.2%","-1.14","0%","0"
"53","9910","豐泰","168.5","+1.5","+0.9%","2015","0.9%","-1.44","14.6%","+8.07","5.3%","-1.17","7.9%","+1.2","71.4%","-6.66","0%","0"
"54","2227","裕日車","321","-4","-1.23%","2014","0.4%","+0.18","42%","+0.92","1.5%","-1.45","52.1%","+0.08","4%","+0.28","0%","0"
"55","2888","新光金","9.75","-0.04","-0.41%","2014","0.6%","-0.05","23.9%","+5.53","2.8%","+0.67","30.6%","+1.22","42.1%","-7.37","0%","0"
"56","2823","中壽","30.6","+0.75","+2.51%","2014","0%","0","49.4%","+2.75","4%","-3.06","19.1%","-0.34","27.5%","+0.64","0%","0"
"57","2301","光寶科","38.75","+0.35","+0.91%","2014","0%","0","47.3%","-2.7","12.6%","+4.34","17.6%","-2.65","22.5%","+1.01","0%","0"
"58","2498","宏達電","104","0","0%","2015","0%","0","22.7%","+0.52","2.3%","+0.09","17%","+0.37","58%","+1.02","0%","-2.01"
"59","5871","F-中租","77.9","+0.2","+0.26%","2015","1%","-0.6","71.1%","+11.4","5.1%","+2.94","3.5%","-0.78","19.3%","-12.9","0%","0"
"60","4958","F-臻鼎","109","-1","-0.91%","2014","2.8%","+2.05","77.2%","+3.82","9.1%","-0.4","1.8%","+0.38","9.1%","-5.86","0%","0"
"61","2618","長榮航","21.1","-0.1","-0.47%","2014","0.8%","-0.01","16.4%","+0.02","7.6%","-3.02","37.1%","+0.33","38.1%","+2.69","0%","0"
"62","2356","英業達","22.05","+0.2","+0.92%","2014","1.3%","-2.15","36.9%","+15.5","1.6%","+0.74","17.6%","+1.23","42.6%","-15.4","0%","0"
"63","5347","世界","47.3","-0.9","-1.87%","2014","16.7%","-0.04","25.1%","+8.08","6.1%","-1.74","42%","-2.8","8.8%","-1.34","1.1%","-2.17"
"64","3673","F-TPK","219.5","+9.5","+4.52%","2014","0.2%","-2.76","53.2%","-13.8","4%","-5.72","2.3%","+1.05","40.3%","+21.3","0%","0"
"65","2610","華航","14.15","-0.05","-0.35%","2014","10%","0","11.3%","+1.74","3.8%","-1.05","45.3%","-1.45","29.6%","+0.76","0%","0"
"66","2347","聯強","43.8","+0.2","+0.46%","2014","0%","0","38.1%","-4.8","16.9%","-3.66","27.2%","+3.44","17.8%","+5.02","0%","0"
"67","2542","興富發","76.9","+0.4","+0.52%","2015","0.4%","+0.35","33.7%","+5.64","2.5%","-1.73","37.8%","+0.15","25.6%","-4.4","0%","0"
"68","2915","潤泰全","73.1","+0.6","+0.83%","2014","3.8%","-0.11","23.2%","+2.1","4.9%","-4.21","49.1%","-0.29","19%","+2.51","0%","0"
"69","2615","萬海","30.35","+0.35","+1.17%","2014","1.4%","+0.27","39.8%","-2.28","2.1%","+0.14","28.4%","+0.28","28.3%","+1.59","0%","0"
"70","5264","F-鎧勝","197","+0.5","+0.25%","2014","0%","0","68.6%","-19.8","11.9%","+8.37","3%","-0.63","16.5%","+12.1","0%","0"
"71","9914","美利達","222.5","+7.5","+3.49%","2014","1.2%","-0.01","45.6%","+5.27","3.4%","-5.09","5.3%","+0.35","44.5%","-0.51","0%","0"
"72","3702","大聯大","39","+0.3","+0.78%","2014","2.3%","+1.5","30.2%","-4.59","15.8%","+5.99","7.6%","-0.01","44%","-2.89","0%","0"
"73","2201","裕隆","40.1","+0.3","+0.75%","2014","3.8%","+1","12.9%","-0.08","4.7%","-2.2","48.8%","+1.67","29.7%","-0.39","0%","0"
"74","2603","長榮","18.05","0","0%","2014","3.5%","+0.76","28.2%","-1.04","7%","+2.28","10.7%","-1.62","50.5%","-0.39","0%","0"
"75","2049","上銀","237","+2.5","+1.07%","2014","3.2%","+2.96","29.6%","+3.27","12.1%","-0.25","12.3%","+1.18","42.7%","-7.16","0%","0"
"76","3231","緯創","24.65","0","0%","2014","3.3%","+0.31","36.2%","-18.3","2.1%","-1.14","9.7%","-2.39","48.6%","+22.2","0%","-0.7"
"77","9945","潤泰新","50.1","+0.55","+1.11%","2014","6.2%","-0.91","17.7%","-2.59","6.3%","-2.04","46.8%","-2.65","22.9%","+8.18","0%","0"
"78","2385","群光","84","-0.6","-0.71%","2014","0%","0","39.5%","+0.31","7.4%","+0.82","21%","-0.47","32.1%","-0.67","0%","0"
"79","1434","福懋","34.55","+0.95","+2.83%","2014","0.6%","+0.2","17.8%","+2.3","5.7%","-0.77","57.8%","+0.6","18.2%","-2.32","0%","0"
"80","1227","佳格","80","-0.5","-0.62%","2015","0%","0","19.5%","-1.18","4.2%","-0.6","6.7%","+0.57","69.6%","+1.2","0%","0"
"81","2353","宏碁","18.25","+0.2","+1.11%","2014","0.2%","-0.2","21.7%","-3.56","0.7%","-0.64","5.3%","-1.3","69.8%","+5.69","2.3%","0"
"82","8299","群聯","286","+3.5","+1.24%","2014","0.9%","-2.86","40.8%","-4.5","17%","-2.81","2.2%","+0.28","39.1%","+9.88","0%","0"
"83","1504","東元","28.1","-0.1","-0.35%","2014","0.7%","+0.51","49.7%","+6.54","6.4%","-1","9.5%","-0.85","33.7%","-5.19","0%","0"
"84","2923","F-鼎固","32.2","-0.8","-2.42%","2015","0%","0","99.2%","+0.58","0%","-0.16","0%","-0.14","0.7%","-0.28","0%","0"
"85","5903","全家","242.5","+3","+1.25%","2014","0%","+0.01","53.4%","+1.14","4.5%","+1.52","27.8%","-0.14","14.2%","-2.53","0%","0"
"86","4174","浩鼎","307","+0.5","+0.16%","2015","0%","","7.3%","","0%","","34.9%","","57.8%","","0%",""
"87","2834","臺企銀","9.81","-0.04","-0.41%","2014","2.7%","0","14.9%","+1.68","33.7%","-0.66","10%","+0.71","38.8%","-1.74","0%","0"
"88","1722","台肥","52.8","+0.6","+1.15%","2014","27.9%","-1.75","23.2%","-6.46","15%","-1.53","4.2%","+0.91","29.8%","+8.84","0%","0"
"89","6176","瑞儀","110.5","0","0%","2014","3.8%","-1.42","64.8%","+7.47","11.4%","-1.97","4.6%","-0.75","15.4%","-3.33","0%","0"
"90","2448","晶電","46.4","+0.3","+0.65%","2014","5.6%","+1.89","49.2%","+16","14%","-2.16","13.4%","-8.43","17.7%","-7.15","0%","-0.13"
"91","2451","創見","115","-0.5","-0.43%","2014","0%","0","23.7%","+0.02","8.6%","+1.93","55.4%","-1.3","12.2%","-0.65","0%","0"
"92","6239","力成","63.3","+0.9","+1.44%","2014","2.6%","-1.26","47.7%","+1.9","8.2%","+2.92","4.9%","-0.2","34.6%","-3.37","1.9%","0"
"93","1477","聚陽","248","-6","-2.36%","2014","0%","0","28.1%","-3.35","11.6%","-4.25","9.9%","+4.89","50.4%","+2.72","0%","0"
"94","3682","亞太電","12.1","0","0%","2014","10.3%","-1.8","5.7%","+5.48","4.1%","-0.78","33.7%","-1.59","46.2%","-1.31","0%","0"
"95","6147","頎邦","71.7","-1.5","-2.05%","2015","7.3%","+3.49","47.2%","+11.5","10.8%","+2.39","17.4%","-4.1","17.3%","-13.2","0%","0"
"96","2379","瑞昱","91.3","+0.4","+0.44%","2014","0%","0","45.1%","+3.57","10.5%","+2.55","9.6%","-3.97","34.8%","-2.15","0%","0"
"97","1802","台玻","19.3","+0.3","+1.58%","2015","0.2%","+0.04","10.1%","+0.49","6.6%","-0.92","65.2%","-0.07","17.9%","+0.46","0%","0"
"98","2106","建大","54.3","+0.7","+1.31%","2014","0%","0","8.2%","+3.2","9.8%","-11.2","7.6%","+1.62","74.5%","+6.35","0%","0"
"99","6121","新普","141","+0.5","+0.36%","2015","2.6%","+1.1","45.6%","+4.28","16.2%","-2.79","13.7%","-0.09","21.9%","-2.5","0%","0"
"100","2059","川湖","438","-10.5","-2.34%","2014","0%","0","30.2%","+11.1","8.3%","-2.17","33.4%","-0.68","28.1%","-8.28","0%","0"
"101","1590","F-亞德","238.5","+1","+0.42%","2014","0%","0","73.4%","-2.77","7.1%","+2.57","3.4%","+2.6","16.1%","-2.39","0%","0"
"102","2327","國巨","59.9","+0.1","+0.17%","2014","0.1%","-0.02","63.2%","+16.2","1.4%","-0.99","4.2%","-1.45","30.5%","-14.4","0.7%","+0.71"
"103","3189","景碩","90.5","+1.1","+1.23%","2014","0%","0","26.9%","+9.63","14.1%","-12.4","50.4%","+5.51","8.7%","-2.79","0%","0"
"104","3532","台勝科","51","+3.3","+6.92%","2014","0%","0","48.9%","+0.01","0.2%","-0.03","45.8%","-0.11","5.1%","+0.14","0%","0"
"105","9917","中保","87.4","-0.9","-1.02%","2014","0.8%","+0.17","45.4%","-2.9","3.6%","-0.24","33.3%","+3.48","16.9%","-0.51","0%","0"
"106","8044","網家","448.5","+9.5","+2.16%","2014","0.6%","+0.59","38.5%","-3.27","5.6%","-5.62","20.3%","+0.91","35%","+7.39","0%","0"
"107","9933","中鼎","51","-0.2","-0.39%","2014","0%","0","49%","-6.86","21.2%","+4.29","16.9%","+0.31","12.9%","+2.25","0%","0"
"108","8454","富邦媒","271","-10.5","-3.73%","2015","0%","0","22.9%","+4.89","3.5%","+3.49","60.5%","-1.61","13.2%","-6.77","0%","0"
"109","8406","F-金可","412.5","-2.5","-0.6%","2014","1.3%","+1.19","91.1%","-1.93","2.2%","-1.82","0.2%","+0.13","5.2%","+2.43","0%","0"
"110","2634","漢翔","41.5","-1.5","-3.49%","2014","45.7%","","8.7%","","7.7%","","1.7%","","36.2%","","0%",""
"111","2606","裕民","43","-0.05","-0.12%","2014","5.5%","+0.74","13.4%","+1.38","5.3%","+1.79","45.4%","+0.09","30.4%","-3.99","0%","0"
"112","2344","華邦電","9.8","+0.14","+1.45%","2014","0.7%","-0.02","15.6%","+1.95","0.5%","-0.13","28%","+1.89","55.2%","-3.7","0%","0"
"113","2204","中華","26.15","+0.15","+0.58%","2014","3.7%","+1.31","31.7%","-0.78","6.6%","+0.18","45%","+1.04","13%","-1.75","0%","0"
"114","2609","陽明","12.45","+0.05","+0.4%","2014","38.4%","-0.75","14%","+0.55","2.8%","+0.5","6.6%","+0.22","38.2%","-0.53","0%","0"
"115","8046","南電","54.9","+0.3","+0.55%","2014","0%","0","10%","-1.05","2.5%","+0.62","70.9%","+0.6","16.6%","-0.18","0%","0"
"116","2707","晶華","303","+1.5","+0.5%","2014","0.4%","+0.15","27.8%","-6.39","6.7%","+3.76","47.9%","-0.07","17.2%","+2.55","0%","0"
"117","8150","南茂","40.75","-1","-2.4%","2014","0%","","68.7%","","1.1%","","18.7%","","11.5%","","0%",""
"118","1723","中碳","147.5","-1","-0.67%","2015","0.6%","-0.97","14%","-4.4","8.2%","-0.83","43.7%","+0.26","33.5%","+5.94","0%","0"
"119","2809","京城銀","29","-0.05","-0.17%","2015","0%","0","27.2%","+8.03","8.4%","+7.5","16.8%","+0.78","47.6%","-16.3","0%","0"
"120","9907","統一實","21.85","-0.25","-1.13%","2014","0%","0","17.7%","+2.94","0.4%","+0.38","63.1%","+4.56","18.9%","-7.88","0%","0"
"121","5904","寶雅","364","+3","+0.83%","2015","0%","+0.01","30.8%","+6.43","2.7%","-1.49","45.8%","+0.72","20.7%","-5.67","0%","0"
"122","3105","穩懋","45.7","+0.25","+0.55%","2014","0.1%","-3.7","4.1%","-8.13","10.3%","-7.22","11.4%","-0.23","74.1%","+19.3","0%","0"
"123","1717","長興","32.85","-0.15","-0.45%","2014","0%","-0.28","12.4%","-2.74","7.5%","+2.91","24%","+2.23","56.1%","-2.12","0%","0"
"124","5530","龍巖","83.6","+1.1","+1.33%","2015","0%","-0.13","16.1%","+4.33","0.5%","-0.13","24%","-3.68","59.4%","-0.38","0%","0"
"125","2903","遠百","23.1","+0.15","+0.65%","2014","2.7%","+0.25","18.5%","+3.61","7.9%","-1.02","43.6%","+0.68","27.3%","-3.52","0%","0"
"126","3691","碩禾","533","-3","-0.56%","2015","3.4%","-3.89","4.9%","-3.99","8.2%","-2.76","55.5%","+0.15","28%","+10.5","0%","0"
"127","5522","遠雄","38.35","+0.85","+2.27%","2014","1.1%","-1.05","18.8%","+0.02","0.2%","-0.74","66%","-0.09","13.9%","+1.85","0%","0"
"128","2833","台壽保","31.2","+0.35","+1.13%","2014","0%","-19.8","3.5%","-0.65","23%","+16","40.7%","+1.16","32.8%","+3.31","0%","0"
"129","2449","京元電","26.8","-0.25","-0.92%","2014","8.4%","+2.92","48.4%","+3.12","7.3%","-0.41","3.2%","+0.11","32.6%","-5.74","0%","0"
"130","2845","遠東銀","11.1","0","0%","2015","0.6%","-0.07","9.6%","-0.24","2.6%","-0.27","51.9%","+0.34","35.4%","+0.24","0%","0"
"131","1789","神隆","44.95","+0.65","+1.47%","2014","13.9%","0","9%","+0.69","1.5%","+1.02","62%","-1.09","13.6%","-0.61","0%","0"
"132","2812","台中銀","10.8","0","0%","2014","0%","0","6.3%","+0.21","5.3%","-1","39.6%","-0.12","48.8%","+0.91","0%","0"
"133","2847","大眾銀","11","+0.15","+1.38%","2014","0.9%","+0.89","14.6%","+0.27","3.9%","+0.53","53.7%","+3.5","25.8%","-6.37","1.2%","+1.19"
"134","6285","啟碁","92.6","+0.6","+0.65%","2014","3.1%","-1.2","19.4%","+8.19","7.8%","+3.37","35%","-5.68","34.8%","-4.68","0%","0"
"135","1605","華新","8.38","+0.15","+1.82%","2014","0.1%","+0.06","29.7%","-1.13","1.8%","-0.25","10.9%","+3.08","56.8%","-1.35","0.7%","-0.4"
"136","2501","國建","17.9","-0.15","-0.83%","2014","0.5%","+0.27","7.6%","-3.72","15.1%","+7.56","56.4%","-0.27","20.5%","-3.85","0%","0"
"137","3044","健鼎","55.9","0","0%","2014","0.1%","+0.09","45.5%","+2.78","9.1%","-4.56","16.9%","+0.33","28.5%","+1.37","0%","0"
"138","2231","為升","405.5","-5.5","-1.34%","2014","0%","0","2.5%","+1.27","7.4%","+7.36","25.8%","-0.83","64.4%","-7.81","0%","0"
"139","2393","億光","68.1","+0.3","+0.44%","2014","12.2%","+7.34","34.2%","+15.1","12.9%","-2.82","3.5%","-0.17","37%","-19.6","0.1%","+0.09"
"140","2849","安泰銀","14.95","+0.1","+0.67%","2015","0%","-0.02","59.7%","+0.11","2.7%","+0.27","35.9%","+2.87","1.7%","-3.23","0%","0"
"141","2392","正崴","57","-0.6","-1.04%","2014","2.3%","+1.26","26.6%","+8.75","8.7%","+0.74","19.4%","-0.71","43%","-10","0%","0"
"142","2377","微星","34.55","0","0%","2014","0%","0","28.7%","+13.2","3.6%","+3.4","7.5%","+1.98","60.2%","-18.6","0%","0"
"143","3529","力旺","375.5","+6","+1.62%","2014","0%","0","17.6%","+15.5","16.6%","+13.4","15.8%","+4.46","48.6%","-32.1","1.4%","-1.3"
"144","5820","日盛金","8.95","0","0%","2015","0%","0","72.7%","+0.43","7.3%","+0.06","2.2%","+0.06","17.8%","-0.55","0%","0"
"145","2362","藍天","41","+0.4","+0.99%","2014","0%","0","22%","+2.77","4%","+1.84","22.7%","-0.19","50.5%","-2.75","0.9%","-1.67"
"146","6409","旭隼","392.5","+6.5","+1.68%","2014","0%","0","22.4%","+11.2","0.9%","+0.68","38.6%","-7.7","38%","-4.21","0%","0"
"147","2103","台橡","33.65","+0.15","+0.45%","2014","4%","-0.64","33%","-0.36","13.8%","+1.55","21.1%","-0.11","28.1%","-0.45","0%","0"
"148","1565","精華","542","+2","+0.37%","2014","4.3%","+4.17","46.8%","-4.28","5.4%","-3.72","5%","-2.9","38.4%","+6.73","0%","0"
"149","1507","永大","66.5","-0.2","-0.3%","2014","0%","0","53.8%","+11.5","1.8%","+0.23","19.2%","-8.97","25.2%","-2.79","0%","0"
"150","1440","南紡","16.65","+0.35","+2.15%","2014","0%","0","7.4%","-1.87","1.8%","+1.56","21.1%","+1.2","69.7%","-0.88","0%","0"
"151","2867","三商壽","18.3","+0.3","+1.67%","2014","4.9%","+4.86","2%","+1.4","0.6%","-1.26","69.1%","-2.23","23.3%","-2.77","0%","0"
"152","2352","佳世達","13.5","+0.05","+0.37%","2014","0%","0","10.6%","+3.22","8.3%","-1.96","15.1%","-0.18","66%","-1.08","0%","0"
"153","2838","聯邦銀","10.75","+0.05","+0.47%","2014","0.1%","+0.1","3%","-0.05","0.2%","-0.11","77.9%","-0.08","18.8%","+0.14","0%","0"
"154","2360","致茂","69.5","+1.2","+1.76%","2014","1.7%","+1.52","49.4%","-3.17","13.9%","-1.13","4.3%","+0.28","30.7%","+2.49","0%","0"
"155","6269","台郡","114","+4.5","+4.11%","2014","7.9%","+2.4","8.2%","-8.59","11.4%","-13.2","12.3%","+3.1","60.3%","+16.8","0%","-0.52"
"156","9938","百和","87.1","+1.5","+1.75%","2014","0%","0","19.5%","+5.59","17.9%","+7.4","6.4%","+1.14","56.2%","-14.1","0%","0"
"157","4162","智擎","252","+6.5","+2.65%","2014","16.1%","-0.94","2.7%","+2.04","13.1%","+3.07","33.1%","-0.84","35%","-3.33","0%","0"
"158","6005","群益證","10.8","+0.05","+0.47%","2015","0.4%","-0.07","14.7%","-1.39","7.7%","+0.56","44%","-0.53","33.2%","+1.43","0%","0"
"159","6286","立錡","172","-1.5","-0.86%","2014","0%","0","29.4%","-2.17","28.7%","-4.8","10.9%","+5.34","31%","+2.29","0%","-0.67"
"160","3037","欣興","16.6","+0.45","+2.79%","2014","4.1%","-3.77","22.9%","+1.74","21.6%","-1.87","19.3%","-1.62","31.9%","+5.3","0.2%","+0.21"
"161","8076","伍豐","115","+0.5","+0.44%","2014","0.3%","+0.29","2.9%","+0.21","1%","-2.52","4.2%","+2.09","90.2%","+0.61","1.3%","-0.67"
"162","2101","南港","30","+0.05","+0.17%","2014","0.1%","-0.02","10.8%","+3.45","1.7%","+0.43","38.9%","+0.92","43.3%","-4.78","5.2%","-0.01"
"163","2337","旺宏","7.02","-0.02","-0.28%","2014","0.3%","-0.23","11.2%","-9.75","1.3%","-0.65","2.9%","-0.05","84.2%","+10.7","0%","0"
"164","1314","中石化","10.65","+0.05","+0.47%","2014","0%","-0.02","18.9%","-0.91","3.8%","-0.14","6.9%","-0.2","70.4%","+1.27","0%","0"
"165","6415","F-矽力","317.5","-6.5","-2.01%","2014","0%","0","84.1%","+5.15","6.7%","+5.67","0.6%","-1","8.6%","-9.81","0%","0"
"166","4966","F-譜瑞","321.5","-0.5","-0.16%","2014","0%","0","32.5%","-17.8","6.9%","+2.34","6%","+2.44","54.4%","+13.2","0.2%","-0.26"
"167","2015","豐興","41.1","0","0%","2014","0%","0","22.8%","+5.18","6.8%","-2.39","5.2%","-0.25","65.2%","-2.54","0%","0"
"168","2441","超豐","42","+0.4","+0.96%","2014","4.1%","-0.04","8.7%","+5.26","0.2%","-1.37","50.1%","-2.18","36.9%","-1.67","0%","0"
"169","2889","國票金","8.76","-0.01","-0.11%","2014","0%","0","16%","+1.02","20.5%","-0.62","28.8%","-0.55","32.8%","+0.21","1.9%","-0.06"
"170","2723","F-美食","165","+7","+4.43%","2014","0.2%","+0.04","58.7%","-0.17","8.6%","+6.02","3.7%","+0.14","28.7%","-6.02","0%","0"
"171","2313","華通","19.5","-0.1","-0.51%","2015","0.2%","+0.18","22.4%","-3.03","3.7%","+2.08","7.7%","-1.04","66.1%","+1.82","0%","0"
"172","6414","樺漢","338","+8","+2.42%","2015","0.3%","+0.29","16.6%","+7.64","9%","+1.53","47.8%","+0.34","26.4%","-9.8","0%","0"
