各股加權貢獻依據2016年03月31日下的權重計算
2330,   台積電,   -31.17,   -31.17,     8657.5516.3051
2317,   鴻海,   -9.57,   -40.74,     8657.555.0963
6505,   台塑化,   1.29,   -39.45,     8657.553.4493
2412,   中華電,   0.00,   -39.45,     8657.553.3375
1303,   南亞,   -1.89,   -41.35,     8657.552.0874
1301,   台塑,   -0.65,   -42.00,     8657.552.0026
2882,   國泰金,   -3.41,   -45.41,     8657.551.8563
1326,   台化,   1.76,   -43.65,     8657.551.8279
2881,   富邦金,   -2.04,   -45.69,     8657.551.5838
2454,   聯發科,   -3.29,   -48.98,     8657.551.5267
2308,   台達電,   -1.78,   -50.75,     8657.551.4361
3045,   台灣大,   0.00,   -50.75,     8657.551.3918
2002,   中鋼,   -2.41,   -53.17,     8657.551.3601
3008,   大立光,   0.70,   -52.47,     8657.551.3475
1216,   統一,   -1.35,   -53.82,     8657.551.2455
2886,   兆豐金,   -1.16,   -54.98,     8657.551.2126
2891,   中信金,   -1.54,   -56.52,     8657.551.1915
2311,   日月光,   -2.97,   -59.49,     8657.551.1333
2912,   統一超,   0.52,   -58.96,     8657.550.9533
4904,   遠傳,   -0.99,   -59.96,     8657.550.9084
2382,   廣達,   -0.26,   -60.22,     8657.550.8557
2357,   華碩,   -1.39,   -61.61,     8657.550.8271
2105,   正新,   -0.76,   -62.38,     8657.550.8052
2474,   可成,   -1.34,   -63.71,     8657.550.8009
4938,   和碩,   -1.55,   -65.27,     8657.550.7753
2207,   和泰車,   -1.50,   -66.77,     8657.550.7507
2892,   第一金,   0.00,   -66.77,     8657.550.7118
2303,   聯電,   -0.65,   -67.42,     8657.550.6582
2325,   矽品,   -0.84,   -68.26,     8657.550.6237
5880,   合庫金,   -0.19,   -68.45,     8657.550.6229
2880,   華南金,   -1.01,   -69.47,     8657.550.6133
3474,   華亞科,   0.00,   -69.47,     8657.550.587
2395,   研華,   -0.32,   -69.79,     8657.550.5781
1402,   遠東新,   -1.33,   -71.12,     8657.550.5617
2884,   玉山金,   0.13,   -70.98,     8657.550.5604
2801,   彰銀,   0.44,   -70.55,     8657.550.5598
2885,   元大金,   -0.62,   -71.17,     8657.550.5419
2883,   開發金,   -0.67,   -71.84,     8657.550.5044
9904,   寶成,   -0.95,   -72.78,     8657.550.4618
1101,   台泥,   -0.88,   -73.67,     8657.550.4492
3481,   群創,   -0.17,   -73.84,     8657.550.4398
1476,   儒鴻,   -0.54,   -74.38,     8657.550.4331
2408,   南亞科,   -0.05,   -74.42,     8657.550.4281
2887,   台新金,   -0.15,   -74.57,     8657.550.395
9910,   豐泰,   -0.10,   -74.67,     8657.550.3947
1102,   亞泥,   -0.83,   -75.50,     8657.550.392
2890,   永豐金,   -0.55,   -76.05,     8657.550.3884
2354,   鴻準,   0.09,   -75.96,     8657.550.3791
2409,   友達,   -0.53,   -76.49,     8657.550.3654
2301,   光寶科,   -0.56,   -77.05,     8657.550.3573
2324,   仁寶,   -0.07,   -77.13,     8657.550.3473
2823,   中壽,   -0.06,   -77.19,     8657.550.3245
3034,   聯詠,   -0.95,   -78.13,     8657.550.3033
2498,   宏達電,   -1.20,   -79.33,     8657.550.298
2356,   英業達,   0.06,   -79.27,     8657.550.2877
9921,   巨大,   -0.68,   -79.95,     8657.550.2826
2618,   長榮航,   -0.20,   -80.14,     8657.550.2682
8464,   億豐,   -0.40,   -80.55,     8657.550.2635
2888,   新光金,   -0.32,   -80.86,     8657.550.2604
5871,   F-中租,   -0.27,   -81.14,     8657.550.2484
2610,   華航,   -0.28,   -81.42,     8657.550.245
2227,   裕日車,   -0.25,   -81.67,     8657.550.2371
1227,   佳格,   -0.21,   -81.87,     8657.550.2343
5264,   F-鎧勝,   -0.59,   -82.46,     8657.550.2301
4958,   F-臻鼎,   -0.03,   -82.49,     8657.550.23
2385,   群光,   -0.50,   -82.99,     8657.550.2231
3702,   大聯大,   -0.37,   -83.36,     8657.550.2218
6239,   力成,   -0.24,   -83.60,     8657.550.2196
9945,   潤泰新,   -0.45,   -84.05,     8657.550.2167
2542,   興富發,   0.27,   -83.77,     8657.550.2158
2347,   聯強,   0.05,   -83.72,     8657.550.21
1434,   福懋,   -0.32,   -84.04,     8657.550.2099
1504,   東元,   -0.10,   -84.14,     8657.550.2066
3231,   緯創,   -0.18,   -84.32,     8657.550.204
2201,   裕隆,   -0.38,   -84.70,     8657.550.1905
2834,   臺企銀,   -0.10,   -84.80,     8657.550.1903
2915,   潤泰全,   -0.41,   -85.21,     8657.550.1895
3682,   亞太電,   -0.07,   -85.28,     8657.550.1875
1722,   台肥,   -0.78,   -86.06,     8657.550.1818
2379,   瑞昱,   -0.19,   -86.25,     8657.550.1734
2106,   建大,   -0.12,   -86.37,     8657.550.1716
2451,   創見,   -0.07,   -86.44,     8657.550.1657
2603,   長榮,   0.06,   -86.38,     8657.550.1648
9914,   美利達,   -0.36,   -86.74,     8657.550.1647
9917,   中保,   0.00,   -86.74,     8657.550.1625
2615,   萬海,   -0.15,   -86.90,     8657.550.1624
2377,   微星,   -0.10,   -86.99,     8657.550.1577
1477,   聚陽,   -0.17,   -87.17,     8657.550.1524
2049,   上銀,   -0.14,   -87.30,     8657.550.1505
2353,   宏碁,   0.00,   -87.30,     8657.550.1496
2923,   F-鼎固,   -0.09,   -87.39,     8657.550.1477
2634,   漢翔,   0.06,   -87.33,     8657.550.1475
6409,   旭隼,   0.43,   -86.90,     8657.550.1448
2723,   F-美食,   0.37,   -86.53,     8657.550.1415
1789,   神隆,   -0.24,   -86.77,     8657.550.1403
2059,   川湖,   -0.15,   -86.92,     8657.550.1384
2327,   國巨,   0.02,   -86.90,     8657.550.1357
6456,   F-GIS,   -0.11,   -87.00,     8657.550.1349
6415,   F-矽力,   -0.45,   -87.45,     8657.550.1318
1802,   台玻,   -0.13,   -87.58,     8657.550.1318
1590,   F-亞德,   0.32,   -87.26,     8657.550.1317
2344,   華邦電,   -0.15,   -87.40,     8657.550.131
1717,   長興,   0.03,   -87.37,     8657.550.1309
2449,   京元電,   -0.40,   -87.77,     8657.550.1269
5522,   遠雄,   0.33,   -87.44,     8657.550.1264
9933,   中鼎,   -0.16,   -87.60,     8657.550.1261
2231,   為升,   -0.18,   -87.78,     8657.550.1257
3189,   景碩,   -0.12,   -87.90,     8657.550.125
2204,   中華,   -0.14,   -88.04,     8657.550.1239
