排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
1388,1443,立益,2014,0%,0.2%,0.3%,10.3%,89.2%,0%
1389,4529,昶洧,2014,0%,19.1%,0%,10%,70.8%,0%
1390,1435,中福,2014,0%,0.1%,0%,20.4%,79.5%,0%
1391,3317,尼克森,2014,0%,0.9%,1.1%,17%,80.9%,0%
1392,3483,力致,2014,0%,0.1%,3.9%,0.6%,95.4%,0%
1393,8053,巨擘,2015,0%,0%,0%,25%,75%,0%
1394,3025,星通,2014,0%,4.6%,0%,9.1%,86.3%,0%
1395,1441,大東,2014,0%,0.5%,0%,26.2%,71.2%,2.1%
1396,3128,昇銳,2014,0%,0.4%,0%,12.2%,87.4%,0%
1397,2724,F-富驛,2014,0%,62.9%,0.3%,2.1%,34.7%,0%
1398,6167,久正,2014,0%,3.3%,0%,18.7%,78%,0%
1399,2468,華經,2014,0%,0.1%,0%,64.4%,35.4%,0%
1400,3202,樺晟,2014,0%,0%,9.1%,4.3%,86.6%,0%
1401,1591,F-駿吉,2014,0%,44.8%,0.4%,0.9%,53.8%,0%
1402,3444,利機,2014,0%,8.9%,0%,12.2%,78.8%,0%
1403,3313,斐成,2014,0%,3.9%,0%,2.6%,93.5%,0%
1404,5383,金利,2014,0%,13.8%,0%,21.4%,64.8%,0%
1405,4714,永捷,2014,0%,0.3%,0%,26.3%,73.5%,0%
1406,1453,大將,2014,0%,0.2%,0%,29.6%,68.4%,1.9%
1407,4102,永日,2014,0%,1.2%,0%,21.7%,77.1%,0%
1408,4420,光明,2015,0%,0%,0%,62.7%,37.3%,0%
1409,6226,光鼎,2014,0%,0.6%,0%,4.7%,94.7%,0%
1410,2033,佳大,2014,0%,0%,1.9%,20.7%,77.4%,0%
1411,3236,千如,2014,0%,0.6%,0%,3.9%,95.6%,0%
1412,6275,元山,2014,0%,0%,0%,5.1%,94.5%,0.3%
1413,8409,商之器,2014,0%,0.1%,0%,28.8%,71.1%,0%
1414,3114,好德,2014,0%,0%,0%,19.9%,77.4%,2.7%
1415,5304,鼎創達,2015,0%,31.5%,0%,12.3%,56.2%,0%
1416,1449,佳和,2014,0%,0.1%,0%,28%,71.9%,0%
1417,6148,驊宏資,2014,0%,0.2%,0%,30.9%,68.9%,0%
