排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
239,8926,台汽電,2014,27.7%,5.1%,16.4%,11.4%,39.5%,0%
88,1722,台肥,2014,27.9%,23.2%,15%,4.2%,29.8%,0%
432,2617,台航,2014,28.6%,3%,2.9%,39.8%,25.6%,0%
134,6285,啟碁,2014,3.1%,19.4%,7.8%,35%,34.8%,0%
237,3035,智原,2014,3.1%,13.1%,16%,14.5%,53.2%,0%
75,2049,上銀,2014,3.2%,29.6%,12.1%,12.3%,42.7%,0%
287,3042,晶技,2014,3.2%,14.8%,10.5%,12.2%,59.2%,0%
317,3023,信邦,2014,3.2%,12.6%,14.4%,6.7%,63.1%,0%
383,8039,台虹,2014,3.2%,34.5%,8.6%,10%,43.6%,0%
76,3231,緯創,2014,3.3%,36.2%,2.1%,9.7%,48.6%,0%
393,2536,宏普,2014,3.3%,29%,7.2%,40.9%,19.7%,0%
126,3691,碩禾,2015,3.4%,4.9%,8.2%,55.5%,28%,0%
227,2383,台光電,2015,3.4%,30.4%,6.7%,12.6%,47%,0%
257,4532,瑞智,2014,3.4%,11.7%,14.3%,41.8%,28.8%,0%
386,2499,東貝,2014,3.4%,9.7%,0%,32.5%,54.4%,0%
47,1102,亞泥,2015,3.5%,19.5%,13.4%,45%,18.5%,0%
74,2603,長榮,2014,3.5%,28.2%,7%,10.7%,50.5%,0%
113,2204,中華,2014,3.7%,31.7%,6.6%,45%,13%,0%
189,5371,中光電,2014,3.7%,42.7%,6.2%,12.4%,34.9%,0%
428,2102,泰豐,2014,3.7%,7.3%,8.6%,17.4%,63%,0%
68,2915,潤泰全,2014,3.8%,23.2%,4.9%,49.1%,19%,0%
73,2201,裕隆,2014,3.8%,12.9%,4.7%,48.8%,29.7%,0%
89,6176,瑞儀,2014,3.8%,64.8%,11.4%,4.6%,15.4%,0%
19,1216,統一,2014,3.9%,45.3%,2%,12.9%,36%,0%
2,2317,鴻海,2014,3%,49%,5.7%,2.9%,39.5%,0%
561,1712,興農,2014,3%,12.1%,2.5%,3.9%,78.5%,0%
626,8042,金山電,2014,3%,13.8%,9.9%,38%,35.2%,0%
34,5880,合庫金,2014,30.6%,15.9%,3.2%,21.9%,28.4%,0%
306,2208,台船,2014,33.6%,5.9%,0%,18.1%,42.4%,0%
706,6183,關貿,2014,36.1%,0.9%,4.5%,18.8%,39.7%,0%
3,2412,中華電,2014,38.1%,14.7%,24.7%,2.8%,19.8%,0%
114,2609,陽明,2014,38.4%,14%,2.8%,6.6%,38.2%,0%
613,1737,臺鹽,2014,38.9%,5.7%,1.4%,3.4%,50.6%,0%
33,2885,元大金,2014,4.1%,32.5%,11.9%,27%,24.6%,0%
160,3037,欣興,2014,4.1%,22.9%,21.6%,19.3%,31.9%,0.2%
168,2441,超豐,2014,4.1%,8.7%,0.2%,50.1%,36.9%,0%
743,3163,波若威,2014,4.2%,6.4%,21.8%,10%,57.5%,0%
5,2882,國泰金,2014,4.3%,24.3%,4.1%,41.1%,26.3%,0%
148,1565,精華,2014,4.3%,46.8%,5.4%,5%,38.4%,0%
29,1402,遠東新,2014,4.5%,20.8%,13.9%,46.9%,13.9%,0%
484,6223,旺矽,2015,4.8%,28.4%,6.1%,12.2%,48.4%,0%
151,2867,三商壽,2014,4.9%,2%,0.6%,69.1%,23.3%,0%
366,2485,兆赫,2014,4.9%,8.8%,3.5%,3.4%,79.4%,0%
14,3045,台灣大,2014,4%,31.4%,12.9%,40%,11.8%,0%
147,2103,台橡,2014,4%,33%,13.8%,21.1%,28.1%,0%
594,1525,江申,2014,4%,0.1%,5.7%,78.1%,12.1%,0%
670,4726,永昕,2014,4%,1.6%,0%,37.1%,57.3%,0%
923,2901,欣欣,2014,43.2%,0.2%,0.4%,26.4%,29.9%,0%
470,2836,高雄銀,2014,45.4%,5%,2.6%,6.7%,40.3%,0%
110,2634,漢翔,2014,45.7%,8.7%,7.7%,1.7%,36.2%,0%
10,3008,大立光,2014,5.1%,40.3%,15.7%,0.2%,38.6%,0%
173,2006,東鋼,2014,5.2%,11.4%,17.3%,29.4%,36.6%,0%
52,3034,聯詠,2014,5.3%,52.8%,16.7%,7%,18.2%,0%
206,4915,致伸,2014,5.3%,42.9%,15.1%,1.9%,34.7%,0%
356,5478,智冠,2014,5.3%,13.5%,10.4%,4.4%,65.9%,0.4%
111,2606,裕民,2014,5.5%,13.4%,5.3%,45.4%,30.4%,0%
90,2448,晶電,2014,5.6%,49.2%,14%,13.4%,17.7%,0%
190,4733,上緯,2014,5.6%,2.2%,9.5%,5.8%,76%,0.9%
26,2105,正新,2015,6.1%,13.5%,8%,7.8%,64.7%,0%
541,3454,晶睿,2014,6.1%,13.9%,18.3%,15.7%,44.7%,1.4%
77,9945,潤泰新,2014,6.2%,17.7%,6.3%,46.8%,22.9%,0%
1,2330,台積電,2014,6.4%,77.8%,3.9%,3.1%,8.9%,0%
715,6245,立端,2014,6.4%,4.8%,27%,12.2%,49.7%,0%
187,1589,F-永冠,2015,6%,15.6%,15.3%,4.1%,59%,0%
260,5388,中磊,2014,7.1%,19.7%,15.2%,9.9%,48.1%,0%
95,6147,頎邦,2015,7.3%,47.2%,10.8%,17.4%,17.3%,0%
446,5471,松翰,2014,7.5%,13.6%,9%,8.6%,61.3%,0%
155,6269,台郡,2014,7.9%,8.2%,11.4%,12.3%,60.3%,0%
129,2449,京元電,2014,8.4%,48.4%,7.3%,3.2%,32.6%,0%
800,3257,虹冠電,2014,8.8%,2.8%,23.1%,7.6%,57.8%,0%
180,2355,敬鵬,2014,8%,20.7%,19.1%,4.1%,48.1%,0%
897,3004,豐達科,2014,9%,0.3%,0.5%,56.7%,33.5%,0%
