上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:104/04/21
產業類別:全部
股票代號,名稱,本益比,殖利率(%),股價淨值比
"8418","F-必勝","52.11","1.01","0.66"
"8420","明揚","34.60","1.16","1.34"
"8421","旭源","N/A","0.00","1.13"
"8423","F-保綠","19.29","3.29","1.42"
"8424","惠普","11.01","5.65","1.91"
"8426","F-紅木","13.19","5.62","2.39"
"8431","匯鑽科","31.24","0.00","2.36"
"8432","東生華","26.70","3.86","1.98"
"8433","弘帆","16.41","5.32","3.04"
"8435","鉅邁","16.91","5.97","2.26"
"8436","大江","26.43","2.46","2.65"
"8446","華研","21.92","3.36","4.90"
"8450","霹靂","163.54","1.78","2.49"
"8905","裕國","4.07","5.26","0.95"
"8906","花王","N/A","0.00","1.15"
"8908","欣雄","18.67","4.57","3.04"
"8913","全銓","45.41","2.38","1.27"
"8916","光隆","10.18","7.37","1.37"
"8917","欣泰","43.86","2.00","3.45"
"8921","沈氏","16.46","5.06","1.10"
"8923","時報","18.47","4.84","1.22"
"8924","大田","N/A","0.00","1.16"
"8925","偉盟","N/A","0.00","0.96"
"8927","北基","N/A","0.00","1.16"
"8928","鉅明","11.24","4.19","3.74"
"8929","富堡","21.39","4.10","1.21"
"8930","青鋼","34.63","10.30","0.90"
"8931","大汽電","26.87","3.55","2.23"
"8932","宏大","13.44","0.00","1.15"
"8933","愛地雅","20.57","2.23","1.14"
"8934","衡平","14.84","6.32","1.57"
"8935","邦泰","N/A","0.00","0.89"
"8936","國統","16.16","3.93","2.33"
"8937","合騏","77.05","1.42","1.53"
"8938","明安","N/A","1.97","1.04"
"8941","關中","5.95","3.21","2.99"
"8942","森鉅","20.97","4.22","2.61"
"9949","琉園","860.00","3.49","1.10"
"9950","萬國通","14.97","4.68","1.41"
"9951","皇田","15.75","4.39","5.06"
"9960","邁達康","35.56","3.57","1.58"
"9962","有益","53.25","1.88","0.96"
共690筆
