上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:104/04/21
產業類別:全部
股票代號,名稱,本益比,殖利率(%),股價淨值比
"3428","光燿科","18.98","0.00","1.86"
"3431","長天","N/A","0.00","1.62"
"3434","哲固","36.00","0.00","1.86"
"3438","類比科","14.08","7.07","0.99"
"3441","聯一光","86.60","2.77","0.81"
"3444","利機","14.39","4.42","1.53"
"3452","益通","N/A","0.00","1.71"
"3455","由田","19.08","0.00","1.44"
"3465","祥業","N/A","0.00","2.49"
"3466","致振","17.29","5.16","1.03"
"3479","安勤","13.49","5.93","1.71"
"3483","力致","145.00","0.80","0.46"
"3484","崧騰","18.96","1.99","2.82"
"3489","森寶","45.13","0.00","1.23"
"3490","單井","14.32","3.05","4.82"
"3491","昇達科","21.32","5.40","2.68"
"3498","陽程","21.28","3.09","2.15"
"3499","環天科","N/A","0.00","1.53"
"3508","位速","N/A","0.00","0.86"
"3511","矽瑪","N/A","0.00","1.12"
"3512","能緹","N/A","0.00","3.08"
"3516","亞帝歐","N/A","0.00","0.44"
"3520","振維","N/A","0.00","15.62"
"3521","鴻翊","27.21","0.00","1.47"
"3522","宏森","14.43","3.57","0.58"
"3523","迎輝","N/A","0.00","1.52"
"3526","凡甲","24.34","3.82","1.55"
"3527","聚積","11.41","7.13","1.34"
"3528","安馳","11.83","6.62","1.79"
"3529","力旺","58.70","1.85","13.75"
"3531","先益","55.95","7.25","0.70"
"3537","堡達","15.53","8.47","1.40"
"3540","曜越","28.00","5.84","0.76"
"3541","西柏","16.32","4.84","5.76"
"3546","宇峻","268.06","1.04","1.85"
"3548","兆利","10.34","3.43","0.70"
"3551","世禾","10.31","4.94","1.09"
"3552","同致","22.22","2.34","3.28"
"3553","力積","18.33","4.68","1.83"
"3555","擎泰","N/A","0.00","1.16"
"3556","禾瑞亞","15.43","6.20","3.22"
"3558","神準","17.66","2.72","4.92"
"3562","頂晶科","39.47","0.00","4.39"
"3563","牧德","13.45","6.69","2.28"
"3564","其陽","17.26","2.86","2.81"
"3567","逸昌","13.73","5.00","1.07"
"3570","大塚","20.04","3.64","3.52"
"3577","泓格","19.87","3.16","2.49"
"3580","友威科","N/A","0.00","1.17"
"3581","博磊","12.38","4.36","1.79"
"3587","閎康","12.64","6.97","2.09"
"3594","磐儀","21.41","2.77","2.31"
"3609","東林","N/A","0.00","0.72"
"3611","鼎翰","18.01","3.79","5.74"
"3615","安可","N/A","0.00","0.62"
"3623","富晶通","10.13","7.50","2.65"
"3624","光頡","17.73","4.27","1.11"
"3625","西勝","N/A","0.00","1.23"
"3628","盈正","14.69","5.78","1.81"
"3629","卓韋","N/A","0.00","1.68"
"3630","新鉅科","N/A","0.00","1.12"
"3631","晟楠","48.77","0.00","1.61"
"3632","研勤","N/A","1.05","1.78"
"3642","駿熠電","48.35","1.31","1.32"
"3646","艾恩特","N/A","5.24","1.39"
"3652","精聯","33.06","3.36","0.97"
"3658","漢微科","41.45","1.16","11.35"
"3662","樂陞","43.66","1.94","3.25"
"3663","鑫科","65.88","2.23","1.25"
"3664","F-安瑞","143.53","0.00","1.41"
"3666","光耀","8.58","6.82","2.01"
"3672","康聯訊","15.85","0.00","4.25"
"3675","德微","25.54","0.00","1.71"
"3680","家登","87.06","1.13","2.42"
"3684","榮昌","16.38","5.39","3.12"
"3685","政翔","N/A","0.00","3.58"
"3687","歐買尬","N/A","0.00","1.89"
"3689","湧德","9.70","6.01","1.79"
"3691","碩禾","20.90","2.92","6.32"
"3693","營邦","18.47","3.24","3.97"
"3707","漢磊","N/A","0.00","0.79"
"4102","永日","N/A","1.47","1.52"
"4103","百略","12.84","5.81","2.47"
"4105","東洋","20.48","4.15","3.81"
"4107","邦特","23.62","2.59","3.69"
"4109","穆拉德","86.55","0.80","1.95"
"4111","濟生","22.63","2.66","1.67"
"4113","聯上","3.82","18.52","1.04"
"4114","健喬","41.42","2.42","1.99"
"4120","友華","27.88","2.65","1.93"
"4121","優盛","N/A","0.00","0.91"
"4123","晟德","49.49","0.00","3.44"
"4126","太醫","13.62","3.71","2.41"
"4127","天良","17.24","3.03","1.30"
"4128","中天","N/A","0.00","1.42"
"4129","聯合","34.14","2.34","2.87"
"4130","健亞","82.00","0.81","4.97"
"4131","晶宇","N/A","0.00","2.67"
"4138","曜亞","19.85","4.39","1.94"
"4139","F-馬光","420.00","0.00","4.39"
"4152","台微體","N/A","0.00","3.68"
"4153","鈺緯","29.51","2.61","7.79"
"4154","F-康樂","22.06","4.16","1.62"
"4157","F*太景","N/A","0.00","26.93"
"4160","創源","N/A","0.00","2.68"
"4161","聿新科","138.33","0.00","5.26"
"4162","智擎","226.02","0.36","9.68"
"4163","鐿鈦","21.86","2.91","5.36"
"4168","醣聯","N/A","0.00","2.01"
"4171","瑞基","N/A","0.00","4.50"
"4173","久裕","41.01","2.51","1.34"
"4174","浩鼎","N/A","0.00","33.44"
"4175","杏一","18.66","4.24","3.04"
"4180","安成藥","N/A","0.00","5.79"
"4188","安克","N/A","0.00","5.39"
"4192","杏國","N/A","0.00","3.05"
"4198","環瑞醫","N/A","0.00","2.73"
"4205","中華食","19.82","3.98","2.36"
"4207","環泰","31.76","8.43","0.99"
"4303","信立","16.62","1.22","1.58"
"4305","世坤","11.41","6.74","1.65"
"4401","東隆興","31.51","3.04","5.79"
"4402","福大","N/A","0.00","0.78"
"4406","新昕纖","N/A","0.00","0.80"
"4413","飛寶","N/A","0.00","13.54"
"4415","台原藥","N/A","0.00","28.22"
"4416","三圓","12.97","3.96","3.44"
"4417","金洲","10.74","4.98","1.19"
"4419","松懋","N/A","0.00","2.28"
"4420","光明","25.44","3.82","1.61"
"4429","聚紡","48.14","1.76","0.93"
"4430","耀億","14.68","3.52","1.01"
"4432","銘旺實","16.19","5.02","3.01"
"4433","興采","23.92","2.57","1.41"
"4502","源恆","N/A","0.00","1.63"
"4503","金雨","N/A","0.00","3.21"
"4506","崇友","12.12","6.80","1.26"
"4510","高鋒","11.79","5.78","1.23"
"4513","福裕","36.91","0.00","1.12"
"4523","永彰","39.27","1.39","0.69"
"4527","方土霖","12.50","6.15","1.80"
"4528","江興鍛","19.21","2.69","2.78"
"4529","昶洧","N/A","0.00","1.31"
"4530","宏易","N/A","0.00","0.74"
"4533","協易機","10.79","4.38","0.81"
"4534","慶騰","16.58","3.69","1.32"
"4535","至興","15.81","5.32","1.61"
"4541","晟田","19.83","3.00","1.65"
"4542","科嶠","9.43","7.55","2.07"
"4549","桓達","23.77","2.96","4.07"
"4550","長佳","11.72","4.76","1.37"
"4609","唐鋒","N/A","0.00","1.10"
"4702","中美實","34.71","0.00","1.31"
"4703","揚華","14.52","5.92","3.58"
"4706","大恭","16.80","6.13","0.97"
"4707","磐亞","51.72","0.00","0.54"
"4711","永純","32.17","4.05","0.83"
"4712","南璋","N/A","0.00","1.68"
"4714","永捷","45.69","2.26","0.91"
"4716","大立","25.88","3.79","1.09"
"4720","德淵","14.23","6.19","1.17"
"4721","美琪瑪","16.08","5.28","1.67"
"4726","永昕","N/A","0.00","2.92"
"4728","雙美","68.92","2.35","2.14"
"4729","熒茂","N/A","0.00","1.46"
"4735","豪展","25.71","0.00","2.09"
"4736","泰博","16.11","4.88","2.95"
"4739","康普","12.73","2.35","1.83"
"4743","合一","35.42","2.16","3.66"
"4745","F-合富","15.12","4.47","2.97"
"4747","強生","17.83","4.35","2.01"
"4903","聯光通","20.74","2.88","1.03"
"4905","台聯電","90.24","1.35","0.91"
"4907","富宇","33.23","0.00","2.84"
"4908","前鼎","10.56","5.48","1.72"
"4909","新復興","10.15","4.21","1.16"
"4911","德英","318.00","0.28","5.22"
"4912","F-聯德","13.73","4.87","2.53"
"4924","F-欣厚","N/A","0.00","3.45"
"4927","F-泰鼎","11.34","5.43","1.38"
"4933","友輝","13.73","4.79","1.13"
"4939","亞電","18.06","4.31","1.04"
"4944","兆遠","165.00","0.00","1.32"
"4946","辣椒","N/A","0.00","2.28"
"4947","F-昂寶","12.54","4.83","2.90"
"4950","牧東","3.93","2.03","1.02"
"4953","緯軟","13.03","4.78","1.54"
"4965","商店街","45.43","1.95","7.42"
"4966","F-譜瑞","17.78","1.71","4.08"
"4971","F-IET","15.21","1.72","2.62"
"4972","湯石","11.36","6.70","1.05"
"4973","廣穎","12.40","5.81","1.05"
"4974","亞泰","10.98","6.04","1.70"
"4979","華星光","21.81","2.81","3.27"
"4987","科誠","11.99","6.10","2.64"
"4991","F-環宇","19.43","3.21","2.91"
"4995","晶達","18.02","5.00","3.96"
"5009","榮剛","15.91","3.52","1.19"
"5011","久陽","15.31","5.81","1.99"
"5013","強新","10.09","5.53","1.24"
"5014","建錩","10.87","4.50","0.74"
"5015","華祺","6.92","11.65","1.43"
"5016","松和","9.62","5.16","1.30"
"5102","富強","16.44","3.56","1.15"
"5201","凱衛","12.67","7.24","1.30"
"5202","力新","250.00","0.00","2.11"
"5205","漢康","N/A","0.00","6.61"
"5206","坤悅","85.00","0.00","1.10"
"5209","新鼎","15.45","4.96","2.33"
"5210","寶碩","26.88","3.38","0.75"
"5211","蒙恬","40.22","2.27","2.20"
"5212","凌網","42.02","1.04","2.31"
"5213","亞昕","9.75","1.33","0.96"
"5227","F-立凱","N/A","0.00","3.44"
"5230","雷笛克","23.94","2.94","1.70"
"5251","天鉞電","12.12","7.20","1.86"
"5255","美桀","21.59","3.31","1.56"
"5263","智崴","56.30","0.78","12.77"
"5266","F*AS","10.65","2.07","1.89"
"5272","笙科","24.07","4.90","3.75"
"5274","信驊","26.31","3.19","8.62"
"5276","F-達輝","12.29","8.39","1.32"
"5278","尚凡","37.43","2.36","1.93"
"5284","F-jpp","13.07","4.15","1.93"
"5287","數字","27.14","3.26","6.89"
"5289","宜鼎","14.24","4.10","3.73"
"5291","邑昇","9.25","6.38","1.28"
"5301","寶得利","45.09","1.79","5.83"
"5302","太欣","N/A","0.00","0.73"
"5304","鼎創達","3.55","0.00","1.42"
"5306","桂盟","32.95","1.06","6.85"
"5309","系統電","N/A","0.00","2.36"
"5310","天剛","N/A","0.00","2.33"
"5312","寶島科","14.04","4.37","2.32"
"5314","世紀","N/A","0.00","1.18"
"5315","光聯","N/A","0.00","2.25"
"5317","凱美","20.54","3.75","1.02"
"5321","友銓","22.52","0.00","3.16"
"5324","士開","N/A","0.00","1.36"
"5328","華容","N/A","0.00","0.66"
"5340","建榮","N/A","0.00","0.71"
"5344","立衛","N/A","0.00","0.99"
"5345","天揚","5.73","0.00","1.41"
"5347","世界","14.45","5.37","2.88"
"5348","系通","N/A","0.00","1.98"
"5349","先豐","15.38","5.49","3.35"
"5351","鈺創","63.33","1.05","1.76"
"5353","台林","25.74","3.46","0.90"
"5355","佳總","11.37","3.66","0.86"
"5356","協益","5.70","8.42","1.50"
"5364","易福","85.36","0.00","4.17"
"5371","中光電","10.22","7.68","1.05"
"5381","合正","N/A","0.00","0.64"
"5383","金利","32.84","4.12","0.97"
"5384","捷元","31.56","3.52","1.06"
"5386","青雲","305.45","1.49","2.80"
"5392","應華","51.33","1.28","1.58"
"5395","圓方","4.52","0.00","0.60"
"5398","力瑋","N/A","0.00","3.33"
"5403","中菲","11.05","4.43","1.34"
"5410","國眾","11.14","8.21","1.08"
"5425","台半","13.03","6.12","1.45"
"5426","振發","11.20","6.12","1.02"
"5432","達威","22.35","0.00","1.52"
"5438","東友","10.74","7.22","0.83"
"5439","高技","11.40","6.88","1.48"
"5443","均豪","31.90","5.22","0.97"
"5450","寶聯通","N/A","0.00","1.46"
"5452","佶優","34.58","1.75","0.93"
"5455","訊利電","N/A","0.00","8.93"
"5457","宣德","17.69","0.00","3.25"
"5460","同協","13.61","5.42","1.20"
"5464","霖宏","8.76","9.26","1.29"
"5465","富驊","28.28","1.22","1.50"
"5466","泰林","5.72","0.00","1.10"
"5468","凱鈺","N/A","0.00","1.59"
"5474","聰泰","23.22","3.62","5.72"
"5475","德宏","N/A","0.00","0.69"
"5478","智冠","20.61","2.73","2.02"
"5480","統盟","9.72","11.70","0.81"
"5481","華韡","N/A","0.00","1.53"
"5483","中美晶","21.58","4.05","1.23"
"5487","通泰","14.30","7.52","1.18"
"5488","松普","N/A","0.00","0.59"
"5489","彩富","9.93","6.97","2.53"
"5490","同亨","35.20","3.55","4.18"
"5491","連展","292.50","0.00","0.73"
"5493","三聯","12.70","7.10","1.51"
"5498","凱崴","70.00","0.00","0.93"
"5505","和旺","22.46","3.31","2.51"
"5508","永信建","6.87","16.31","2.33"
"5511","德昌","7.18","9.52","1.24"
"5512","力麒","8.13","3.80","0.73"
"5514","三豐","4.33","9.57","1.39"
"5516","雙喜","N/A","0.00","0.85"
"5520","力泰","16.96","11.19","1.05"
"5523","豐謙","4.65","0.00","1.33"
"5529","志嘉","N/A","18.18","0.91"
"5530","龍巖","14.70","4.46","3.59"
"5536","聖暉","37.67","2.58","1.39"
"5601","台聯櫃","26.42","2.60","1.24"
"5603","陸海","7.57","9.57","1.34"
"5604","中連貨","31.93","4.74","1.83"
"5609","中菲行","13.04","4.71","1.37"
"5701","劍湖山","N/A","0.00","0.55"
"5703","亞都","41.60","1.59","1.76"
"5704","老爺知","30.17","2.88","3.52"
"5820","日盛金","11.00","5.60","0.75"
"5878","台名","12.44","0.00","2.21"
"5902","德記","95.71","0.00","2.02"
"5903","全家","41.38","2.08","11.48"
"5904","寶雅","38.44","2.37","12.38"
"5905","南仁湖","18.33","4.13","1.00"
"6015","宏遠證","21.90","3.42","0.75"
"6016","康和證","78.70","0.00","0.69"
"6020","大展證","30.71","2.45","1.16"
"6021","大慶證","42.50","4.84","1.00"
"6022","大眾證","20.37","2.07","0.86"
"6023","元大期","12.56","14.75","1.47"
"6024","群益期","9.70","6.61","1.15"
"6101","弘捷","21.86","1.02","2.34"
"6103","合邦","N/A","0.00","26.25"
"6104","創惟","13.33","6.13","3.69"
"6105","瑞傳","7.44","6.34","1.54"
"6107","華美","22.26","2.67","5.93"
"6109","亞元","11.90","5.56","1.24"
"6111","大宇資","N/A","0.00","12.25"
"6113","亞矽","N/A","0.00","0.80"
"6114","翔昇","11.27","0.00","4.53"
"6118","建達","N/A","0.00","0.93"
"6121","新普","14.07","4.53","2.34"
"6122","擎邦","32.58","0.00","0.71"
"6123","上奇","16.51","4.66","1.43"
"6124","業強","N/A","0.00","1.61"
"6125","廣運","19.93","3.39","0.71"
"6126","信音","N/A","0.00","0.86"
"6127","九豪","320.00","0.00","1.18"
"6129","普誠","25.89","0.00","0.98"
"6130","基因","66.32","5.29","2.86"
"6134","萬旭","N/A","0.00","1.00"
"6135","佳營","62.04","0.00","1.60"
"6138","茂達","17.71","5.34","2.00"
"6140","訊達","N/A","0.00","1.06"
"6143","振曜","10.34","14.73","2.15"
"6144","得利影","1030.00","0.00","1.47"
"6146","耕興","22.11","3.60","6.03"
"6147","頎邦","15.72","4.19","1.74"
"6148","驊宏資","17.42","5.02","0.81"
"6150","撼訊","N/A","0.00","1.41"
"6151","晉倫","15.42","5.99","1.19"
"6154","順發","13.71","6.35","1.32"
"6156","松上","15.00","0.00","1.53"
"6158","禾昌","N/A","0.00","0.51"
"6160","欣技","40.54","0.00","1.61"
"6161","捷波","11.73","4.55","0.70"
"6163","華電網","N/A","0.00","1.11"
"6167","久正","7.24","0.00","1.12"
"6169","昱泉","N/A","0.00","1.43"
"6170","統振","35.74","2.39","0.96"
"6171","亞銳士","N/A","0.00","1.20"
"6173","信昌電","16.67","3.20","0.85"
"6174","安碁","19.42","6.00","1.68"
"6175","立敦","63.46","0.61","1.13"
"6179","亞通","35.74","0.49","3.74"
"6180","橘子","65.00","1.83","2.51"
"6182","合晶","N/A","0.00","0.85"
"6185","幃翔","11.32","7.10","1.73"
"6186","新潤","8.97","10.02","1.74"
"6187","萬潤","25.00","2.80","3.45"
"6188","廣明","8.77","8.89","1.02"
"6190","萬泰科","N/A","0.00","0.65"
"6194","育富","23.41","3.91","0.70"
"6195","詩肯","11.52","7.10","3.46"
"6198","凌泰","N/A","0.00","2.21"
"6199","精威","33.95","0.52","1.82"
"6203","海韻電","10.48","7.63","2.36"
"6204","艾華","13.30","4.55","1.00"
"6207","雷科","12.66","7.24","1.48"
"6208","日揚","14.61","5.37","0.98"
"6210","慶生","11.18","6.20","3.06"
"6211","福登","17.52","0.00","1.41"
"6212","理銘","N/A","0.00","3.06"
"6217","中探針","14.55","1.62","2.31"
"6218","豪勉","16.98","4.67","1.36"
"6219","富旺","5.55","13.25","1.35"
"6220","岳豐","10.71","0.00","0.84"
"6221","晉泰","16.34","5.49","1.55"
"6222","上揚","N/A","0.00","2.10"
"6223","旺矽","14.05","4.30","1.99"
"6227","茂綸","11.74","5.44","0.96"
"6228","全譜","N/A","0.00","3.78"
"6229","研通","18.69","5.22","1.13"
"6231","系微","69.82","1.04","2.19"
"6233","旺玖","N/A","0.00","1.41"
"6234","高僑","29.52","0.65","1.04"
"6236","康呈","100.00","0.00","4.52"
"6237","驊訊","19.33","3.45","1.10"
"6238","勝麗","48.09","0.00","3.89"
"6240","松崗","56.14","0.00","4.11"
"6241","易通展","16.56","6.67","2.06"
"6244","茂迪","N/A","0.00","1.38"
"6245","立端","13.44","4.38","2.08"
"6246","臺龍","N/A","0.00","4.03"
"6247","淇譽電","26.84","0.65","1.10"
"6248","沛波","24.33","0.00","4.47"
"6250","宇加","2492.50","0.00","9.66"
"6259","百徽","N/A","0.00","1.59"
"6261","久元","11.09","7.61","1.40"
"6263","普萊德","12.26","5.71","2.71"
"6264","富裔","N/A","0.00","1.38"
"6265","方土昶","14.17","4.48","0.60"
"6266","泰詠","12.03","7.53","0.79"
"6270","倍微","21.77","4.07","0.72"
"6274","台燿","9.04","5.69","1.13"
"6275","元山","30.17","0.00","1.32"
"6276","安鈦克","19.51","3.38","1.53"
"6279","胡連","18.13","4.14","3.72"
"6284","佳邦","33.09","1.22","1.17"
"6287","元隆","N/A","0.00","1.40"
"6290","良維","10.53","6.00","1.13"
"6291","沛亨","N/A","0.00","1.35"
"6292","迅德","10.73","8.45","1.69"
"6294","智基","131.18","0.00","3.98"
"6298","崴強","9.80","9.23","1.22"
"6404","F-通訊","18.56","2.48","1.52"
"6411","晶焱","20.82","2.94","2.56"
"6419","京晨科","41.67","1.91","1.96"
"6426","統新","14.15","3.53","2.35"
"6506","雙邦","16.48","3.37","1.41"
"6508","惠光","10.97","5.90","1.31"
"6509","聚和","42.67","2.18","1.14"
"6603","富強鑫","18.43","3.10","0.81"
"6609","瀧澤科","10.51","4.43","1.72"
"6803","崑鼎","16.52","5.38","2.66"
"8024","佑華","14.50","3.41","0.93"
"8032","光菱","8.82","6.94","1.22"
"8034","榮群","N/A","0.00","1.23"
"8038","長園科","N/A","0.00","2.34"
"8040","九暘","N/A","0.00","1.25"
"8042","金山電","9.98","6.36","1.36"
"8043","蜜望實","10.39","5.35","0.68"
"8044","網家","53.32","1.25","17.08"
"8047","星雲","18.44","1.40","1.13"
"8048","德勝","16.42","4.55","2.38"
"8049","晶采","12.38","3.67","0.78"
"8050","廣積","15.68","6.08","2.80"
"8053","巨擘","N/A","0.00","2.25"
"8054","安國","16.85","8.13","0.94"
"8059","凱碩","11.52","3.36","1.58"
"8064","東捷","8.41","5.15","1.27"
"8066","來思達","21.97","3.86","5.80"
"8067","志旭","N/A","0.00","1.09"
"8068","全達","18.44","0.00","3.73"
"8069","元太","1410.00","0.00","0.60"
"8071","能率豐","287.14","5.97","1.28"
"8074","鉅橡","14.92","4.81","1.69"
"8076","伍豐","63.74","0.00","5.11"
"8077","冠華","86.44","0.00","4.48"
"8079","誠遠","10.59","6.51","1.04"
"8080","奧斯特","N/A","0.00","1.54"
"8082","眾星","N/A","0.00","4.08"
"8083","瑞穎","18.29","4.69","5.53"
"8084","巨虹","89.66","0.00","2.45"
"8085","福華","149.29","0.00","1.32"
"8086","宏捷科","21.12","3.43","3.59"
"8087","華鎂鑫","N/A","0.00","0.97"
"8088","品安","12.43","7.27","1.43"
"8091","翔名","14.69","5.82","2.27"
"8092","建暐","159.09","0.00","1.51"
"8093","保銳","N/A","0.00","0.78"
"8096","擎亞","62.37","0.00","1.31"
"8097","常珵","N/A","0.00","1.42"
"8099","大世科","15.16","7.05","1.59"
"8107","大億科","19.78","0.00","1.65"
"8109","博大","13.18","6.14","3.62"
"8111","立碁","N/A","0.00","0.69"
"8121","越峰","N/A","0.00","1.91"
"8147","正淩","16.46","4.34","2.56"
"8155","博智","12.52","4.22","1.45"
"8171","天宇","N/A","0.00","0.96"
"8176","智捷","N/A","0.00","1.02"
"8182","加高","13.17","4.82","0.66"
"8183","精星","16.73","2.87","0.67"
"8234","新漢","14.10","3.98","2.88"
"8240","華宏","14.29","4.10","0.60"
"8255","朋程","14.85","5.11","3.06"
"8266","中日新","57.40","0.00","6.25"
"8277","商丞","N/A","0.00","0.93"
"8287","英格爾","15.42","3.79","0.98"
"8289","泰藝","15.44","4.68","0.71"
"8291","尚茂","N/A","0.00","1.04"
"8299","群聯","14.76","4.34","2.90"
"8349","恒耀","27.95","3.92","3.35"
"8354","冠好","10.74","4.78","0.78"
"8358","金居","N/A","0.00","1.20"
"8383","千附","11.58","5.68","1.47"
"8390","金益鼎","34.60","1.16","0.80"
"8401","白紗科","8.83","6.87","1.14"
"8403","盛弘","21.80","2.51","1.97"
"8406","F-金可","26.21","1.61","4.10"
"8409","商之器","N/A","0.00","1.98"
"8410","森田","6.24","5.63","0.98"
"8416","實威","20.37","3.73","5.25"
