"1101","台泥","14.93","5.69","1.37"
"1102","亞泥","13.99","5.66","0.92"
"1103","嘉泥","470.00","7.09","0.52"
"1104","環泥","12.65","4.20","1.13"
"1108","幸福","11.54","5.53","0.96"
"1109","信大","20.45","8.76","0.97"
"1110","東泥","65.80","1.22","1.06"
"1201","味全","-","2.49","1.56"
"1203","味王","21.07","4.24","1.31"
"1210","大成","14.71","4.00","1.24"
"1213","大飲","101.36","0.00","1.73"
"1215","卜蜂","8.88","4.56","1.32"
"1216","統一","24.85","3.55","3.01"
"1217","愛之味","-","0.00","0.74"
"1218","泰山","64.00","0.00","1.29"
"1219","福壽","34.77","1.00","1.24"
"1220","台榮","36.00","2.78","0.91"
"1225","福懋油","100.71","1.18","1.76"
"1227","佳格","25.66","3.36","4.45"
"1229","聯華","10.40","4.74","0.83"
"1231","聯華食","23.97","2.50","2.05"
"1232","大統益","12.51","6.48","3.49"
"1233","天仁","18.43","4.49","2.95"
"1234","黑松","37.30","3.28","0.85"
"1235","興泰","24.69","0.00","1.02"
"1236","宏亞","16.32","5.14","1.48"
"1262","F-綠悅","12.89","2.62","2.17"
"1301","台塑","27.74","2.17","1.75"
"1303","南亞","18.65","3.07","1.86"
"1304","台聚","25.40","2.54","0.94"
"1305","華夏","53.00","1.51","1.07"
"1307","三芳","17.10","4.29","2.13"
"1308","亞聚","20.14","3.75","1.11"
"1309","台達化","-","0.00","0.85"
"1310","台苯","-","6.60","1.49"
"1312","國喬","60.94","5.13","1.15"
"1313","聯成","-","1.76","0.70"
"1314","中石化","91.15","0.00","0.52"
"1315","達新","22.36","4.00","0.73"
"1316","上曜","-","0.00","1.45"
"1319","東陽","23.34","2.06","1.26"
"1321","大洋","-","0.00","1.63"
"1323","永裕","11.78","5.03","1.88"
"1324","地球","22.98","2.29","1.03"
"1325","恆大","34.75","2.20","1.14"
"1326","台化","42.50","1.57","1.61"
"1337","F-再生","6.62","1.43","0.74"
"1338","F-廣華","13.64","3.59","1.42"
"1339","昭輝","19.30","2.27","3.10"
"1340","F-勝悅","9.65","4.90","1.78"
"1402","遠東新","15.24","3.75","0.84"
"1409","新纖","12.77","3.30","0.68"
"1410","南染","17.41","4.75","1.56"
"1413","宏洲","-","0.00","1.08"
"1414","東和","39.14","6.08","0.57"
"1416","廣豐","10.48","13.07","0.95"
"1417","嘉裕","101.63","2.46","0.64"
"1418","東華","-","0.00","1.20"
"1419","新紡","110.43","0.80","1.58"
"1423","利華","-","0.00","0.53"
"1432","大魯閣","-","0.00","1.43"
"1434","福懋","16.17","4.14","1.16"
"1435","中福","-","0.00","0.81"
"1436","華友聯","8.60","6.52","1.17"
"1437","勤益控","15.90","0.00","0.73"
"1438","裕豐","161.00","0.00","1.22"
"1439","中和","1630.00","3.07","0.74"
"1440","南紡","55.17","1.69","1.04"
"1441","大東","-","0.00","0.96"
"1442","名軒","12.60","16.36","1.24"
"1443","立益","-","0.00","0.67"
"1444","力麗","43.70","1.99","0.83"
"1445","大宇","46.19","3.09","0.72"
"1446","宏和","279.00","1.08","2.04"
"1447","力鵬","24.55","9.26","0.85"
"1449","佳和","12.95","0.00","0.60"
"1451","年興","15.49","6.64","1.07"
"1452","宏益","20.53","3.72","1.63"
"1453","大將","-","5.70","0.80"
"1454","台富","22.31","3.45","0.93"
"1455","集盛","110.33","2.01","0.81"
"1456","怡華","-","0.00","1.63"
"1457","宜進","28.32","3.12","0.69"
"1459","聯發","22.32","4.40","0.99"
"1460","宏遠","19.07","4.27","1.50"
"1463","強盛","27.22","3.09","1.44"
"1464","得力","4.21","0.00","1.15"
"1465","偉全","16.00","5.65","0.95"
"1466","聚隆","40.61","2.51","1.16"
"1467","南緯","25.75","1.47","1.13"
"1468","昶和","-","0.00","1.43"
"1469","理隆","-","0.00","0.87"
"1470","大統染","24.03","3.24","1.67"
"1471","首利","-","0.00","0.66"
"1472","三洋紡","-","0.00","4.02"
"1473","台南","31.13","5.30","1.07"
"1474","弘裕","21.43","3.18","0.69"
"1475","本盟","-","0.00","1.39"
"1476","儒鴻","33.62","2.07","10.66"
"1477","聚陽","25.76","3.34","5.35"
"1503","士電","16.46","3.75","0.99"
"1504","東元","14.29","3.75","1.18"
"1506","正道","200.45","0.00","2.18"
"1507","永大","13.64","4.44","2.36"
"1512","瑞利","-","0.00","0.62"
"1513","中興電","13.01","5.56","1.20"
"1514","亞力","17.93","4.56","0.73"
"1515","力山","12.99","4.69","0.82"
"1516","川飛","18.01","0.00","2.85"
"1517","利奇","14.65","3.38","0.95"
"1519","華城","17.15","3.50","1.42"
"1521","大億","17.18","5.11","3.80"
"1522","堤維西","13.48","4.52","1.24"
"1524","耿鼎","176.00","0.00","0.61"
"1525","江申","14.42","2.10","1.48"
"1526","日馳","15.05","0.00","1.52"
"1527","鑽全","7.89","9.04","2.39"
"1528","恩德","93.75","1.07","0.81"
"1529","樂士","-","0.00","2.40"
"1530","亞崴","15.08","4.91","1.63"
"1531","高林股","19.21","3.86","0.92"
"1532","勤美","22.90","3.85","1.02"
