1258,F-其祥,9.75,3.94
1259,安心,19.34,3.99
1264,德麥,14.73,5.18
1333,恩得利,N/A,0
1336,台翰,N/A,0
1565,精華,23.24,3.6
1566,捷邦,24.04,2.1
1569,濱川,N/A,0
1570,力肯,9.56,3.1
1580,新麥,11.58,6.03
1584,精剛,N/A,0
1586,和勤,N/A,0
1591,F-駿吉,13.48,6.32
1593,祺驊,16.88,7.19
1595,川寶,10.74,8.35
1597,直得,33.71,3.33
1599,宏佳騰,13.57,6.47
1742,台蠟,N/A,0
1752,南光,20.19,2.84
1777,生泰,18.81,3.63
1781,合世,N/A,0
1784,訊聯,79.74,1.33
1785,光洋科,18.92,4.55
1787,福盈科,13.26,6.8
1788,杏昌,16.16,4.95
1795,美時,N/A,0
1799,易威,N/A,0
1813,寶利徠,12.39,6.96
1815,富喬,12.75,1.77
2035,唐榮,N/A,0
2061,風青,N/A,0
2063,世鎧,18.89,4.69
2064,晉椿,8.33,6.9
2066,世德,15.73,5.02
2067,嘉鋼,N/A,7.14
2221,大甲,17.21,5.7
2230,泰茂,18.66,3.74
2233,宇隆,15.87,3.92
2235,謚源,21.57,3.7
2596,綠意,20.47,11.45
2636,台驊,12.64,7.26
2640,大車隊,11.22,6.31
2641,正德,26.48,2.6
2643,捷迅,10.02,6.18
2718,晶悅,21.06,1.57
2719,燦星旅,61.43,0
2724,F-富驛,N/A,0
2726,F-雅茗,28.4,2.9
2729,瓦城,20.56,4.56
2732,六角,15.18,6.47
2734,易飛網,76.67,8.7
2736,高野,7.45,6.18
2740,天蔥,18.95,2.81
2916,滿心,12.43,6.88
2924,F-東凌,42.64,0.91
2926,誠品生,21.65,3.57
2928,F-紅馬,29.09,2.05
3064,泰偉,N/A,0
3066,李洲,N/A,0
3067,全域,N/A,0
3068,美磊,24.61,2.19
3071,協禧,N/A,0
3073,普格,N/A,0
3078,僑威,10.55,7.97
3081,聯亞,41.54,2.34
3083,網龍,N/A,0
3085,久大,N/A,0
3086,華義,N/A,0
3088,艾訊,14.97,5.85
3089,遠昇,N/A,0
3092,鴻碩,17.39,3.14
3093,港建,15.98,7.36
3095,及成,N/A,0
3105,穩懋,15.27,0.77
3114,好德,8.54,6.37
3115,寶島極,1190,0
3118,進階,14.52,5.8
3122,笙泉,19.32,4.02
3128,昇銳,N/A,0
3131,弘塑,16.04,4.79
3141,晶宏,34.33,0.87
3144,新揚科,9.43,5.05
3152,璟德,17.84,5.59
3162,精確,N/A,0
3163,波若威,N/A,0
3169,亞信,22.98,5.48
3171,新洲,14.54,0
3176,基亞,N/A,0
3188,安茂,N/A,0
3191,和進,N/A,0
3202,樺晟,N/A,0
3205,佰研,43.99,0
3206,志豐,10.55,6.8
3207,耀勝,N/A,0
3211,順達,10.64,7.04
3213,茂訊,9.53,7.71
3217,優群,10.34,7.27
3218,大學光,17.56,4.64
3219,倚強,N/A,0
3221,台嘉碩,21.1,3.73
3224,三顧,153.81,0
3226,至寶電,26.9,2.68
3227,原相,33.88,3.66
3228,金麗科,N/A,0
3230,錦明,N/A,0
3232,昱捷,17.81,7.39
3234,光環,17.41,5.23
3236,千如,15.57,4.06
3252,海灣,N/A,0
3259,鑫創,N/A,0
3260,威剛,N/A,1.56
3264,欣銓,8.8,6.47
3265,台星科,16.59,1.3
3268,海德威,N/A,7.41
3272,東碩,10.17,3.38
3276,宇環,16.82,3.24
3284,太普高,10.23,0
3285,微端,21.11,3.38
3287,廣寰科,N/A,0
3288,點晶,N/A,0
3289,宜特,18.93,4.55
3290,東浦,6.19,6.97
3291,遠翔科,19.3,2.19
3293,鈊象,80,1.61
3294,英濟,60.45,2.26
3297,杭特,11.09,10.14
3299,帛漢,10.99,8.33
3303,岱稜,14.74,6.03
3306,鼎天,18.55,6.09
3310,佳穎,25.63,2.09
3313,斐成,N/A,0
3317,尼克森,N/A,0
3322,建舜電,N/A,0
3323,加百裕,11.49,5.18
3324,雙鴻,38.06,1.31
3325,旭品,N/A,0
3332,幸康,12.99,5.82
3339,泰谷,N/A,0
3354,律勝,24.08,2.48
3360,尚立,17.05,5.45
3362,先進光,N/A,0
3363,上詮,N/A,0
3372,典範,140,0
3373,熱映,17.93,5.38
3374,精材,14.82,1.77
3379,彬台,52.31,8.09
3388,崇越電,13.69,6.27
3390,旭軟,10.13,13.07
3402,漢科,12.38,5.28
3428,光燿科,22.86,1.74
3431,長天,N/A,0
3434,哲固,21.75,2.68
3438,類比科,19.02,1.71
3441,聯一光,166.43,0
3444,利機,13.91,6.04
3452,益通,N/A,0
3455,由田,8.05,7.1
3465,祥業,N/A,0
3466,致振,140,2.38
3479,安勤,21.65,4.36
3483,力致,N/A,0.58
3484,崧騰,14.32,4.66
3489,森寶,99.4,0
3490,單井,7.87,1.57
3491,昇達科,17.16,5.73
3492,長盛,20.41,2.21
3498,陽程,11.66,3.52
3499,環天科,66.79,0
3508,位速,N/A,0
3511,矽瑪,22.79,0
3512,能緹,82.08,0
3516,亞帝歐,N/A,0
3520,振維,N/A,0
3521,鴻翊,N/A,0
3522,宏森,N/A,0
3523,迎輝,N/A,0
3526,凡甲,33.65,4.64
3527,聚積,11.68,6.46
3528,安馳,9.86,7.68
3529,力旺,62.93,1.62
3531,先益,N/A,1.76
3537,堡達,11.5,5.9
3540,曜越,N/A,5.75
3541,西柏,18.53,4.47
3546,宇峻,N/A,1.47
3548,兆利,14.19,2.86
3551,世禾,9.78,5.51
3552,同致,68.08,0.64
3553,力積,8.18,1.62
3555,擎泰,N/A,0
3556,禾瑞亞,14.03,6.53
