1	2330	台積電	13.6123
2	2317	鴻海	4.8544
3	6505	台塑化	2.6869
4	2412	中華電	2.6693
5	2882	國泰金	2.3943
6	2881	富邦金	2.2589
7	2454	聯發科	2.2353
8	1303	南亞	2.149
9	1301	台塑	1.7823
10	2308	台達電	1.6639
11	1326	台化	1.6167
12	3008	大立光	1.4874
13	2002	中鋼	1.4285
14	3045	台灣大	1.298
15	2891	中信金	1.2953
16	2311	日月光	1.2706
17	2886	兆豐金	1.2079
18	2382	廣達	1.0547
19	2474	可成	1.0105
20	1216	統一	0.9693
21	2207	和泰車	0.9387
22	2357	華碩	0.8712
23	4904	遠傳	0.8389
24	2912	統一超	0.8358
25	4938	和碩	0.8193
26	2105	正新	0.8166
27	3474	華亞科	0.7139
28	2883	開發金	0.6859
29	2303	聯電	0.6572
30	2885	元大金	0.6343
31	2892	第一金	0.6224
32	2880	華南金	0.6206
33	5880	合庫金	0.612
34	2408	南亞科	0.6078
35	1402	遠東新	0.6037
36	2395	研華	0.5763
37	1101	台泥	0.5719
38	2325	矽品	0.5658
39	3481	群創	0.5519
40	2409	友達	0.5319
41	2884	玉山金	0.5303
42	2801	彰銀	0.5204
43	2890	永豐金	0.4627
44	1102	亞泥	0.4618
45	9904	寶成	0.4519
46	2324	仁寶	0.4386
47	2887	台新金	0.4371
48	2354	鴻準	0.4289
49	9910	豐泰	0.3852
50	2498	宏達電	0.3848
51	1476	儒鴻	0.3771
52	9921	巨大	0.3561
53	2823	中壽	0.3483
54	3034	聯詠	0.3405
55	2888	新光金	0.3391
56	2301	光寶科	0.3282
57	5871	F-中租	0.3264
58	2618	長榮航	0.3176
59	2227	裕日車	0.3171
60	4958	F-臻鼎	0.2931
61	2610	華航	0.2901
62	2356	英業達	0.2766
63	9914	美利達	0.2523
64	2542	興富發	0.2503
65	2915	潤泰全	0.2502
66	2615	萬海	0.2479
67	3673	F-TPK	0.241
68	2347	聯強	0.2383
69	2603	長榮	0.2362
70	3231	緯創	0.2348
71	9945	潤泰新	0.2269
72	2201	裕隆	0.2265
73	5264	F-鎧勝	0.2213
74	2353	宏碁	0.221
75	3702	大聯大	0.2197
76	2049	上銀	0.2156
77	2385	群光	0.2145
78	1504	東元	0.2082
79	1434	福懋	0.2043
80	2923	F-鼎固	0.2041
81	1227	佳格	0.1948
82	1722	台肥	0.1936
83	2834	臺企銀	0.1873
84	1802	台玻	0.185
85	2448	晶電	0.1792
86	2451	創見	0.1791
87	2379	瑞昱	0.1718
88	2106	建大	0.1678
89	1477	聚陽	0.1628
90	6176	瑞儀	0.1594
91	2059	川湖	0.1585
92	6239	力成	0.1569
93	2609	陽明	0.1544
94	3189	景碩	0.1513
95	3682	亞太電	0.1495
96	2327	國巨	0.1479
