
"105年03月 31日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比"
"3006","晶豪科","14.92","4.26","1.08"
"3008","大立光","13.85","2.04","5.28"
"3010","華立","9.15","6.05","1.06"
"3011","今皓","-","0.00","0.67"
"3013","晟銘電","37.95","0.00","1.18"
"3014","聯陽","13.11","6.97","1.20"
"3015","全漢","11.93","6.38","0.53"
"3016","嘉晶","-","0.38","2.37"
"3017","奇鋐","13.38","3.56","1.15"
"3018","同開","-","3.24","1.47"
"3019","亞光","76.62","0.00","0.71"
"3021","鴻名","14.82","5.76","1.06"
"3022","威強電","10.46","6.73","1.63"
"3023","信邦","14.60","4.72","2.54"
"3024","憶聲","-","0.00","0.45"
"3025","星通","-","1.24","1.14"
"3026","禾伸堂","12.92","7.25","0.92"
"3027","盛達","32.18","1.20","0.76"
"3028","增你強","11.55","9.32","0.77"
"3029","零壹","11.89","4.51","1.15"
"3030","德律","11.65","8.11","2.05"
"3031","佰鴻","-","0.80","0.65"
"3032","偉訓","14.85","5.14","2.15"
"3033","威健","11.98","7.50","1.19"
"3034","聯詠","12.32","7.72","2.76"
"3035","智原","22.31","3.62","2.02"
"3036","文曄","8.69","10.39","1.02"
"3037","欣興","82.11","1.92","0.53"
"3038","全台","9.64","2.26","1.25"
"3040","遠見","14.27","7.96","1.22"
"3041","揚智","-","3.30","1.30"
"3042","晶技","14.46","5.71","1.26"
"3043","科風","-","0.00","3.28"
"3044","健鼎","10.83","4.71","1.03"
"3045","台灣大","18.14","5.36","4.78"
"3046","建碁","-","0.00","1.06"
"3047","訊舟","13.31","4.52","0.89"
"3048","益登","8.07","5.90","1.06"
"3049","和鑫","44.53","0.00","0.74"
"3050","鈺德","10.70","8.04","0.68"
"3051","力特","5.94","0.00","0.90"
"3052","夆典","13.06","8.63","0.64"
"3054","立萬利","-","0.60","1.97"
"3055","蔚華科","4.27","5.14","0.85"
"3056","總太","5.05","12.50","0.84"
"3057","喬鼎","35.31","1.77","1.19"
"3058","立德","107.11","5.19","0.58"
"3059","華晶科","27.11","3.62","0.78"
"3060","銘異","12.45","7.05","1.88"
"3062","建漢","14.24","3.54","1.13"
"3090","日電貿","11.06","8.00","1.47"
"3094","聯傑","25.40","4.52","1.71"
"3130","一零四","14.12","5.69","3.26"
"3149","正達","-","0.00","1.04"
"3164","景岳","-","0.00","1.48"
"3167","大量","11.11","5.46","1.43"
"3189","景碩","10.97","4.90","1.12"
"3209","全科","8.89","9.43","1.73"
"3229","晟鈦","-","0.00","1.82"
"3231","緯創","36.18","7.54","0.70"
"3257","虹冠電","17.88","8.53","1.66"
"3266","昇陽","-","8.13","0.86"
"3296","勝德","153.33","0.72","0.82"
"3305","昇貿","25.79","4.08","0.73"
"3308","聯德","10.62","0.00","0.62"
"3311","閎暉","20.99","3.47","0.69"
"3312","弘憶股","-","23.18","0.53"
"3315","宣昶","16.67","6.06","0.68"
"3321","同泰","14.00","6.07","1.48"
"3338","泰碩","13.66","5.75","1.67"
"3356","奇偶","15.97","5.66","2.85"
"3376","新日興","12.75","3.48","1.76"
"3380","明泰","-","2.96","0.87"
"3383","新世紀","-","0.00","0.53"
"3406","玉晶光","-","0.00","0.82"
"3413","京鼎","13.67","0.97","3.30"
"3416","融程電","15.45","6.43","1.99"
"3419","譁裕","-","0.00","1.20"
"3432","台端","69.41","1.69","0.53"
"3437","榮創","11.16","5.76","1.11"
"3443","創意","22.79","3.57","3.20"
"3450","聯鈞","14.45","4.72","5.19"
"3454","晶睿","13.63","5.50","2.52"
"3474","華亞科","10.60","0.00","1.42"
"3481","群創","10.32","6.22","0.48"
"3494","誠研","-","1.77","1.22"
"3501","維熹","8.52","7.56","1.11"
"3504","揚明光","32.74","4.00","1.05"
"3514","昱晶","-","0.00","0.86"
"3515","華擎","20.43","5.85","0.84"
"3518","柏騰","-","3.77","0.72"
"3519","綠能","-","0.00","1.28"
"3532","台勝科","19.94","3.34","1.27"
"3533","嘉澤","12.56","4.21","1.24"
"3535","晶彩科","20.22","0.00","1.14"
"3536","誠創","-","0.00","1.33"
"3545","敦泰","34.94","1.11","0.71"
"3550","聯穎","13.44","7.75","0.49"
"3557","嘉威","-","0.00","0.62"
"3559","全智科","9.39","6.78","1.24"
"3561","昇陽科","-","0.56","0.87"
"3573","穎台","-","0.00","0.68"
"3576","新日光","-","0.96","0.91"
"3579","尚志","-","0.00","0.51"
"3583","辛耘","69.34","1.36","3.08"
"3584","介面","-","0.00","0.55"
"3588","通嘉","14.10","6.76","1.13"
"3591","艾笛森","-","2.04","0.55"
"3593","力銘","-","0.00","1.05"
"3596","智易","15.10","4.79","1.12"
"3598","奕力","11.19","9.04","1.07"
"3605","宏致","27.85","1.19","1.01"
"3607","谷崧","9.27","8.54","0.84"
"3617","碩天","12.35","4.62","1.95"
"3622","洋華","-","0.00","0.42"
"3645","達邁","20.44","3.60","1.65"
"3653","健策","21.09","5.51","1.10"
"3661","F-世芯","17.20","1.36","0.78"
"3665","F-貿聯","20.65","3.51","3.58"
"3669","圓展","-","1.32","0.59"
"3673","F-TPK","-","0.67","0.78"
"3679","新至陞","11.17","7.32","0.79"
"3682","亞太電","-","0.00","1.19"
"3686","達能","-","0.00","0.69"
"3694","海華","53.00","0.00","1.31"
"3698","隆達","34.89","3.84","0.68"
"3701","大眾控","-","0.00","1.84"
"3702","大聯大","10.49","7.29","1.19"
"3703","欣陸","17.16","4.35","0.47"
"3704","合勤控","-","0.96","0.80"
"3705","永信","14.99","4.98","2.25"
"3706","神達","11.06","7.83","0.58"
"4104","佳醫","15.97","4.97","0.94"
"4106","雃博","21.78","2.27","2.20"
"4108","懷特","-","0.00","3.64"
"4119","旭富","16.33","4.99","2.21"
"4133","亞諾法","39.68","2.62","1.52"
"4137","F-麗豐","18.87","3.61","5.58"
"4141","F-龍燈","-","2.03","0.84"
"4142","國光生","-","0.00","1.77"
"4144","F-康聯","12.97","7.54","1.29"
"4164","承業醫","33.77","3.66","1.48"
"4190","F-佐登","20.17","4.24","4.49"
"4306","炎洲","17.25","3.62","0.81"
"4414","如興","-","1.81","2.66"
"4426","利勤","25.98","1.73","7.89"
"4526","東台","22.64","3.33","1.07"
"4532","瑞智","14.25","6.04","1.60"
"4536","拓凱","16.64","4.46","2.11"
"4545","銘鈺","10.83","6.88","3.56"
